"legis.annee","groupe.pol","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2007,"Non-inscrits","profinter",2,2.5,0,0,46.5,46.5,100,100,0,0,0,0,100,100,100,100,100,100,50,50,21.5,21.5
2007,"Non-inscrits","proflib",2,2.12765957446809,0,0,52,52,87.7840909090909,87.7840909090909,50,50,100,100,0,0,100,100,76.4204545454546,76.4204545454546,50,50,24,24
2007,"RPR/UMP/LR","agri",13,72.2222222222222,0,0,54.3076923076923,55,64.761175852533,68.5714285714286,0,0,100,100,0,0,92.3076923076923,100,64.761175852533,68.5714285714286,38.4615384615385,0,18.3846153846154,21
2007,"RPR/UMP/LR","artisancommercantpdg",33,89.1891891891892,3.03030303030303,0,55.5454545454545,56,64.7174010367452,66.6666666666667,9.09090909090909,0,100,100,0,0,100,100,63.3602396795838,66.6666666666667,18.1818181818182,0,19.8787878787879,19
2007,"RPR/UMP/LR","cadsupprive",74,74,17.5675675675676,0,54.7837837837838,55,64.5708394726803,67.948717948718,14.8648648648649,0,100,100,0,0,97.2972972972973,100,63.3213596947322,66.6666666666667,22.972972972973,0,19.3378378378378,19
2007,"RPR/UMP/LR","cadsuppub",91,46.4285714285714,14.2857142857143,0,56.2197802197802,58,60.4999887289366,60,35.1648351648352,0,100,100,0,0,93.4065934065934,100,57.2955027825007,56.25,21.978021978022,0,18.956043956044,18
2007,"RPR/UMP/LR","collab",50,54.3478260869565,12,0,49.82,49,81.5588330813678,87.6518218623482,94,100,0,0,0,0,98,100,62.9865255332518,64.1876430205949,30,0,20.4,20
2007,"RPR/UMP/LR","employe",3,37.5,66.6666666666667,100,50.3333333333333,51,71.7948717948718,69.2307692307692,0,0,0,0,100,100,100,100,71.7948717948718,69.2307692307692,33.3333333333333,0,18,18
2007,"RPR/UMP/LR","NA",8,88.8888888888889,50,50,48.875,50.5,69.4548611111111,81.9444444444445,25,0,0,0,0,0,87.5,100,65.6087072649573,81.9444444444445,50,50,17.375,18
2007,"RPR/UMP/LR","ouvrier",1,20,0,0,67,67,100,100,0,0,0,0,100,100,100,100,100,100,0,0,42,42
2007,"RPR/UMP/LR","profinter",29,36.25,31.0344827586207,0,51.6896551724138,53,65.0338090996189,70.5882352941177,17.2413793103448,0,0,0,100,100,93.1034482758621,100,64.4590964559408,70.5882352941177,20.6896551724138,0,18.0344827586207,18
2007,"RPR/UMP/LR","proflib",67,71.2765957446808,14.9253731343284,0,58.044776119403,59,62.7504209350802,66.6666666666667,5.97014925373134,0,100,100,0,0,98.5074626865672,100,61.8774513179705,66.6666666666667,20.8955223880597,0,20.6865671641791,22
2007,"Socialiste","agri",5,27.7777777777778,40,0,56.6,59,52.1218487394958,60,0,0,100,100,0,0,100,100,52.1218487394958,60,60,100,16.8,18
2007,"Socialiste","artisancommercantpdg",3,8.10810810810811,66.6666666666667,100,51.6666666666667,51,67.5824175824176,64.2857142857143,0,0,100,100,0,0,100,100,67.5824175824176,64.2857142857143,100,100,18,18
2007,"Socialiste","cadsupprive",17,17,23.5294117647059,0,55,56,72.5179607984023,78.9473684210526,23.5294117647059,0,100,100,0,0,100,100,67.8356668281826,72.972972972973,23.5294117647059,0,21.2352941176471,24
2007,"Socialiste","cadsuppub",88,44.8979591836735,22.7272727272727,0,56.0568181818182,57.5,68.1620748984362,70.5882352941177,32.9545454545455,0,100,100,0,0,96.5909090909091,100,64.4016940003628,67.6190476190476,35.2272727272727,0,21.0113636363636,24
2007,"Socialiste","collab",35,38.0434782608696,20,0,49.8285714285714,53,86.940445539488,90,91.4285714285714,100,0,0,0,0,88.5714285714286,100,60.6634932303188,69.2307692307692,31.4285714285714,0,21.4285714285714,23
2007,"Socialiste","employe",2,25,100,100,57.5,57.5,54.6489563567362,54.6489563567362,0,0,0,0,100,100,100,100,54.6489563567362,54.6489563567362,0,0,18,18
2007,"Socialiste","ouvrier",2,40,0,0,58.5,58.5,59.6774193548387,59.6774193548387,0,0,0,0,100,100,100,100,59.6774193548387,59.6774193548387,50,50,21,21
2007,"Socialiste","profinter",36,45,41.6666666666667,0,57.25,57.5,61.5602309974006,65.3846153846154,8.33333333333333,0,0,0,100,100,100,100,59.1940786312482,63.0857648099028,50,50,20.1944444444444,19.5
2007,"Socialiste","proflib",22,23.4042553191489,22.7272727272727,0,55.5454545454545,56.5,57.1540499656716,51.0869565217392,18.1818181818182,0,100,100,0,0,90.9090909090909,100,55.3084806742819,51.0869565217392,31.8181818181818,0,17.5909090909091,15.5
2007,"Total","agri",18,100,11.1111111111111,0,54.9444444444444,56.5,61.2502516544671,65.8646616541354,0,0,100,100,0,0,94.4444444444444,100,61.2502516544671,65.8646616541354,44.4444444444444,0,17.9444444444444,19.5
2007,"Total","artisancommercantpdg",37,100,8.10810810810811,0,55.3783783783784,56,64.1765567046204,66.6666666666667,8.10810810810811,0,100,100,0,0,100,100,62.9661154941792,64.2857142857143,27.027027027027,0,19.5405405405405,19
2007,"Total","cadsupprive",100,100,17,0,54.67,55,66.2485881529766,71.7142857142857,15,0,100,100,0,0,98,100,64.5279831423577,67.5438596491228,21,0,19.57,19
2007,"Total","cadsuppub",196,100,16.8367346938776,0,56.3571428571429,57.5,64.4821380098641,65,33.6734693877551,0,100,100,0,0,94.8979591836735,100,61.1187555147887,62.3310810810811,26.530612244898,0,20.1530612244898,20
2007,"Total","collab",92,100,16.304347826087,0,49.4021739130435,50.5,84.4251004518574,90.1612903225806,92.3913043478261,100,0,0,0,0,94.5652173913043,100,63.3091560357645,69.2307692307692,30.4347826086957,0,20.5217391304348,20.5
2007,"Total","employe",8,100,62.5,100,55.5,55.5,64.6506313275763,69.9095022624435,12.5,0,0,0,100,100,100,100,64.6506313275763,69.9095022624435,12.5,0,19.875,21
2007,"Total","NA",9,100,55.5555555555556,100,51.7777777777778,51,69.1450617283951,75,22.2222222222222,0,0,0,0,0,88.8888888888889,100,65.7262583095916,75,55.5555555555556,100,18.7777777777778,20
2007,"Total","ouvrier",5,100,0,0,61.4,61,75.2073732718894,85.7142857142857,0,0,0,0,100,100,100,100,75.2073732718894,85.7142857142857,40,0,28.4,36
2007,"Total","profinter",80,100,33.75,0,55.1875,57,66.099199805269,72.10433244916,10,0,0,0,100,100,97.5,100,64.8260979071671,71.1915535444948,38.75,0,20.325,21.5
2007,"Total","proflib",94,100,17.0212765957447,0,57.1382978723404,57,62.6301647203546,66.6666666666667,9.57446808510638,0,100,100,0,0,96.8085106382979,100,61.3342204492461,64.8529411764706,24.468085106383,0,20.1063829787234,21
2007,"UDF/MODEM/UDI/NC/Dém","artisancommercantpdg",1,2.7027027027027,0,0,61,61,36.1111111111111,36.1111111111111,0,0,100,100,0,0,100,100,36.1111111111111,36.1111111111111,100,100,13,13
2007,"UDF/MODEM/UDI/NC/Dém","cadsupprive",8,8,0,0,50.75,50,70.0597534266432,65.7657657657658,0,0,100,100,0,0,100,100,70.0597534266432,65.7657657657658,0,0,17.625,18
2007,"UDF/MODEM/UDI/NC/Dém","cadsuppub",9,4.59183673469388,0,0,59,57,65.3026363802226,62.0689655172414,33.3333333333333,0,100,100,0,0,88.8888888888889,100,63.3581919357781,62.0689655172414,0,0,21.7777777777778,22
2007,"UDF/MODEM/UDI/NC/Dém","collab",4,4.34782608695652,0,0,43.5,44,100,100,100,100,0,0,0,0,100,100,84.7437888198758,81.9875776397515,25,0,18.5,19
