"legis.annee","cabcollab","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1997,"Jamais collaborateur","cadsupprive",76,77.5510204081633,6.57894736842105,0,53.2368421052632,52.5,56.8794618377376,57.1428571428571,0,0,100,100,0,0,96.0526315789474,100,56.8794618377376,57.1428571428571,28.9473684210526,0,15.9736842105263,15.5
1997,"Jamais collaborateur","cadsuppub",165,70.5128205128205,11.5151515151515,0,54.7333333333333,54,58.2465141469647,60.6060606060606,0,0,100,100,0,0,96.969696969697,100,58.2465141469647,60.6060606060606,35.7575757575758,0,17.569696969697,19
1997,"Jamais collaborateur","collab",5,9.61538461538461,60,100,41.4,42,30.3115554522204,30.4347826086957,0,0,0,0,0,0,60,100,30.3115554522204,30.4347826086957,80,100,5.2,5
1997,"Jamais collaborateur","employe",6,100,66.6666666666667,100,53,53,58.6151482925677,55.955334987593,0,0,0,0,100,100,100,100,58.6151482925677,55.955334987593,33.3333333333333,0,16,15
1997,"Jamais collaborateur","NA",4,100,25,0,42.25,43.5,59.3003565062389,68.3333333333333,0,0,0,0,0,0,100,100,59.3003565062389,68.3333333333333,25,0,11,14
1997,"Jamais collaborateur","ouvrier",10,100,10,0,54.9,55.5,54.8019073220686,58.3333333333333,0,0,0,0,100,100,90,100,54.8019073220686,58.3333333333333,50,50,17.4,18.5
1997,"Jamais collaborateur","profinter",84,92.3076923076923,13.0952380952381,0,52.5595238095238,52,59.7362074614501,64.3181818181818,0,0,0,0,100,100,96.4285714285714,100,59.7362074614501,64.3181818181818,55.9523809523809,100,16.2619047619048,15
1997,"Jamais collaborateur","proflib",95,92.2330097087379,9.47368421052632,0,54.0210526315789,54,56.3633224458667,55.5555555555556,0,0,100,100,0,0,96.8421052631579,100,56.3633224458667,55.5555555555556,33.6842105263158,0,16.7263157894737,14
1997,"Total","agri",18,100,0,0,55.6111111111111,56.5,69.2796236830615,78.4615384615385,0,0,100,100,0,0,94.4444444444444,100,69.2796236830615,78.4615384615385,27.7777777777778,0,21.1111111111111,20
1997,"Total","artisancommercantpdg",38,100,5.26315789473684,0,53.1052631578947,54.5,56.9171921367082,52.7777777777778,5.26315789473684,0,100,100,0,0,94.7368421052632,100,56.4387232371867,52.7777777777778,36.8421052631579,0,16.0789473684211,15
1997,"Total","cadsupprive",98,100,7.14285714285714,0,52.3061224489796,52,59.7117745984918,59.6296296296296,22.4489795918367,0,100,100,0,0,95.9183673469388,100,58.112656481501,57.1428571428571,30.6122448979592,0,15.969387755102,15.5
1997,"Total","cadsuppub",234,100,12.3931623931624,0,53.7264957264957,54,57.9908536904092,60.3030303030303,29.4871794871795,0,100,100,0,0,94.4444444444444,100,54.4347131848561,57.6923076923077,38.4615384615385,0,16.8717948717949,16
1997,"Total","collab",52,100,17.3076923076923,0,45.6538461538462,45,78.581486987879,85.9782608695652,90.3846153846154,100,0,0,0,0,90.3846153846154,100,56.5215994684718,62.0192307692307,40.3846153846154,0,16.3846153846154,16.5
1997,"Total","employe",6,100,66.6666666666667,100,53,53,58.6151482925677,55.955334987593,0,0,0,0,100,100,100,100,58.6151482925677,55.955334987593,33.3333333333333,0,16,15
1997,"Total","NA",4,100,25,0,42.25,43.5,59.3003565062389,68.3333333333333,0,0,0,0,0,0,100,100,59.3003565062389,68.3333333333333,25,0,11,14
1997,"Total","ouvrier",10,100,10,0,54.9,55.5,54.8019073220686,58.3333333333333,0,0,0,0,100,100,90,100,54.8019073220686,58.3333333333333,50,50,17.4,18.5
1997,"Total","profinter",91,100,12.0879120879121,0,52.2197802197802,52,59.9718414195767,65,7.69230769230769,0,0,0,100,100,96.7032967032967,100,59.8497412974766,63.6363636363636,53.8461538461538,100,16.0769230769231,15
1997,"Total","proflib",103,100,8.7378640776699,0,53.621359223301,53,57.1250178510099,56,7.76699029126214,0,100,100,0,0,96.1165048543689,100,56.553215420454,56,32.0388349514563,0,16.6407766990291,14
2007,"Ancien collaborateur","artisancommercantpdg",3,8.10810810810811,0,0,54,51,75.048433048433,76,100,100,100,100,0,0,100,100,60.1196581196581,57.6923076923077,0,0,21.6666666666667,20
2007,"Ancien collaborateur","cadsupprive",15,15,20,0,51.6,54,78.9469069145767,84.2105263157895,100,100,100,100,0,0,93.3333333333333,100,67.4762068437838,77.7777777777778,20,0,21.4666666666667,24
