"legis.annee","tendance.pol","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1997,"ECO/SOC/RAD","cadsuppub",145,61.965811965812,15.8620689655172,0,52.5862068965517,52,56.7640246712531,60,21.3793103448276,0,100,100,0,0,93.1034482758621,100,53.2780551209581,57.1428571428571,48.9655172413793,0,15.9724137931034,16
1997,"ECO/SOC/RAD","collab",30,57.6923076923077,20,0,43.7,44.5,76.9679203748695,84.1666666666667,90,100,0,0,0,0,83.3333333333333,100,52.1419846697576,55,60,100,14.6666666666667,15
1997,"ECO/SOC/RAD","employe",5,83.3333333333333,60,100,52.6,51,60.3381779510812,58.0645161290323,0,0,0,0,100,100,100,100,60.3381779510812,58.0645161290323,40,0,16.2,15
1997,"ECO/SOC/RAD","NA",3,75,33.3333333333333,0,42.3333333333333,45,51.6161616161616,66.6666666666667,0,0,0,0,0,0,100,100,51.6161616161616,66.6666666666667,33.3333333333333,0,10,14
1997,"ECO/SOC/RAD","ouvrier",1,10,0,0,60,60,60,60,0,0,0,0,100,100,100,100,60,60,100,100,21,21
1997,"ECO/SOC/RAD","profinter",57,62.6373626373626,17.5438596491228,0,51.6140350877193,51,56.0744281460796,60.8695652173913,3.50877192982456,0,0,0,100,100,96.4912280701754,100,55.9282293156702,60.8695652173913,64.9122807017544,100,14.5263157894737,14
1997,"ECO/SOC/RAD","proflib",39,37.8640776699029,10.2564102564103,0,51.6666666666667,51,54.9400891064747,58.3333333333333,7.69230769230769,0,100,100,0,0,92.3076923076923,100,54.0060231724087,58.3333333333333,53.8461538461538,100,15.4871794871795,14
1997,"Non-inscrits","artisancommercantpdg",3,7.89473684210526,0,0,52,51,57.2080546265329,47.8260869565217,0,0,100,100,0,0,100,100,57.2080546265329,47.8260869565217,33.3333333333333,0,15.3333333333333,15
1997,"Non-inscrits","cadsuppub",1,0.427350427350427,0,0,61,61,72.2222222222222,72.2222222222222,0,0,100,100,0,0,100,100,72.2222222222222,72.2222222222222,100,100,26,26
1997,"Non-inscrits","profinter",1,1.0989010989011,0,0,61,61,38.8888888888889,38.8888888888889,100,100,0,0,100,100,100,100,36.1111111111111,36.1111111111111,100,100,14,14
1997,"Total","agri",18,100,0,0,55.6111111111111,56.5,69.2796236830615,78.4615384615385,0,0,100,100,0,0,94.4444444444444,100,69.2796236830615,78.4615384615385,27.7777777777778,0,21.1111111111111,20
1997,"Total","artisancommercantpdg",38,100,5.26315789473684,0,53.1052631578947,54.5,56.9171921367082,52.7777777777778,5.26315789473684,0,100,100,0,0,94.7368421052632,100,56.4387232371867,52.7777777777778,36.8421052631579,0,16.0789473684211,15
1997,"Total","cadsupprive",98,100,7.14285714285714,0,52.3061224489796,52,59.7117745984918,59.6296296296296,22.4489795918367,0,100,100,0,0,95.9183673469388,100,58.112656481501,57.1428571428571,30.6122448979592,0,15.969387755102,15.5
1997,"Total","cadsuppub",234,100,12.3931623931624,0,53.7264957264957,54,57.9908536904092,60.3030303030303,29.4871794871795,0,100,100,0,0,94.4444444444444,100,54.4347131848561,57.6923076923077,38.4615384615385,0,16.8717948717949,16
1997,"Total","collab",52,100,17.3076923076923,0,45.6538461538462,45,78.581486987879,85.9782608695652,90.3846153846154,100,0,0,0,0,90.3846153846154,100,56.5215994684718,62.0192307692307,40.3846153846154,0,16.3846153846154,16.5
1997,"Total","employe",6,100,66.6666666666667,100,53,53,58.6151482925677,55.955334987593,0,0,0,0,100,100,100,100,58.6151482925677,55.955334987593,33.3333333333333,0,16,15
1997,"Total","NA",4,100,25,0,42.25,43.5,59.3003565062389,68.3333333333333,0,0,0,0,0,0,100,100,59.3003565062389,68.3333333333333,25,0,11,14
1997,"Total","ouvrier",10,100,10,0,54.9,55.5,54.8019073220686,58.3333333333333,0,0,0,0,100,100,90,100,54.8019073220686,58.3333333333333,50,50,17.4,18.5
1997,"Total","profinter",91,100,12.0879120879121,0,52.2197802197802,52,59.9718414195767,65,7.69230769230769,0,0,0,100,100,96.7032967032967,100,59.8497412974766,63.6363636363636,53.8461538461538,100,16.0769230769231,15
1997,"Total","proflib",103,100,8.7378640776699,0,53.621359223301,53,57.1250178510099,56,7.76699029126214,0,100,100,0,0,96.1165048543689,100,56.553215420454,56,32.0388349514563,0,16.6407766990291,14
2007,"Centre","artisancommercantpdg",1,2.7027027027027,0,0,61,61,36.1111111111111,36.1111111111111,0,0,100,100,0,0,100,100,36.1111111111111,36.1111111111111,100,100,13,13
2007,"Centre","cadsupprive",8,8,0,0,50.75,50,70.0597534266432,65.7657657657658,0,0,100,100,0,0,100,100,70.0597534266432,65.7657657657658,0,0,17.625,18
2007,"Centre","cadsuppub",9,4.59183673469388,0,0,59,57,65.3026363802226,62.0689655172414,33.3333333333333,0,100,100,0,0,88.8888888888889,100,63.3581919357781,62.0689655172414,0,0,21.7777777777778,22
2007,"Centre","collab",4,4.34782608695652,0,0,43.5,44,100,100,100,100,0,0,0,0,100,100,84.7437888198758,81.9875776397515,25,0,18.5,19
2007,"Centre","NA",1,11.1111111111111,100,100,75,75,66.6666666666667,66.6666666666667,0,0,0,0,0,0,100,100,66.6666666666667,66.6666666666667,100,100,30,30
2007,"Centre","profinter",1,1.25,0,0,62,62,81.0810810810811,81.0810810810811,0,0,0,0,100,100,100,100,81.0810810810811,81.0810810810811,100,100,30,30
2007,"Centre","proflib",2,2.12765957446809,0,0,48,48,75,75,0,0,100,100,0,0,100,100,75,75,50,50,17,17
2007,"COM/LFI","cadsupprive",1,1,0,0,72,72,53.3333333333333,53.3333333333333,0,0,100,100,0,0,100,100,53.3333333333333,53.3333333333333,0,0,24,24
2007,"COM/LFI","cadsuppub",5,2.55102040816327,0,0,60.6,59,70.7826797385621,80,0,0,100,100,0,0,100,100,70.7826797385621,80,0,0,25,24
2007,"COM/LFI","collab",2,2.17391304347826,50,50,46,46,75.7575757575758,75.7575757575758,50,50,0,0,0,0,100,100,59.0909090909091,59.0909090909091,50,50,13,13
2007,"COM/LFI","employe",3,37.5,33.3333333333333,0,59.3333333333333,61,64.1741741741742,83.3333333333333,33.3333333333333,0,0,0,100,100,100,100,64.1741741741742,83.3333333333333,0,0,23,30
2007,"COM/LFI","ouvrier",2,40,0,0,61.5,61.5,78.3410138248848,78.3410138248848,0,0,0,0,100,100,100,100,78.3410138248848,78.3410138248848,50,50,29,29
