"legis.annee","genre","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2012,"Femmes","artisancommercantpdg",3,13.0434782608696,100,100,51.6666666666667,56,49.8452264581297,54.8387096774194,0,0,100,100,0,0,100,100,49.8452264581297,54.8387096774194,33.3333333333333,0,14.6666666666667,17
2012,"Femmes","cadsupprive",20,18.5185185185185,100,100,49.5,50.5,44.1492732594253,39.3358876117497,15,0,100,100,0,0,80,100,40.0009216110736,36.1530172413793,65,100,11.1,11
2012,"Femmes","cadsuppub",47,27.810650887574,100,100,52.1914893617021,53,41.4285371951307,40.7407407407407,27.6595744680851,0,100,100,0,0,87.2340425531915,100,37.6646706374091,35.4838709677419,68.0851063829787,100,11.3404255319149,11
2012,"Femmes","collab",19,18.6274509803922,100,100,46.2631578947368,44,75.9858753362555,80,84.2105263157895,100,0,0,0,0,84.2105263157895,100,42.1592701006249,40,52.6315789473684,100,16.0526315789474,14
2012,"Femmes","employe",2,33.3333333333333,100,100,57.5,57.5,31.4102564102564,31.4102564102564,0,0,0,0,100,100,50,50,31.4102564102564,31.4102564102564,50,50,11,11
2012,"Femmes","NA",8,57.1428571428571,100,100,55.75,61.5,66.8174385857313,56.6666666666667,12.5,0,0,0,0,0,87.5,100,66.8174385857313,56.6666666666667,50,50,20.25,20
2012,"Femmes","profinter",48,45.7142857142857,100,100,55.9791666666667,56.5,48.4586178310198,50,8.33333333333333,0,0,0,100,100,91.6666666666667,100,46.3176646483999,47.7225672877846,58.3333333333333,100,15.5,12.5
2012,"Femmes","proflib",15,19.2307692307692,100,100,54.2,54,50.4999259107549,50,6.66666666666667,0,100,100,0,0,100,100,49.4742848851139,48.5714285714286,53.3333333333333,100,15,16
2012,"Hommes","agri",13,72.2222222222222,0,0,58.0769230769231,58,68.6146511353263,70.8333333333333,0,0,100,100,0,0,100,100,68.6146511353263,70.8333333333333,38.4615384615385,0,22.6153846153846,23
2012,"Hommes","artisancommercantpdg",20,86.9565217391304,0,0,56.15,57,58.3623994912485,60.369532428356,5,0,100,100,0,0,100,100,58.3623994912485,60.369532428356,25,0,18.55,21.5
2012,"Hommes","cadsupprive",88,81.4814814814815,0,0,55.375,56,69.1100273993185,75,30.6818181818182,0,100,100,0,0,90.9090909090909,100,64.7964953952999,70.7825203252033,32.9545454545455,0,21.4090909090909,23
2012,"Hommes","cadsuppub",122,72.189349112426,0,0,55.5737704918033,56,67.3229222804569,70.3203203203203,36.0655737704918,0,100,100,0,0,94.2622950819672,100,63.3724313779672,66.2878787878788,35.2459016393443,0,21.1147540983607,22.5
2012,"Hommes","collab",83,81.3725490196078,0,0,47.7469879518072,47,84.3521937890019,89.4736842105263,97.5903614457831,100,0,0,0,0,95.1807228915663,100,61.3774301232366,67.4418604651163,46.9879518072289,0,19.4698795180723,18
2012,"Hommes","employe",4,66.6666666666667,0,0,56,57,37.2499315818281,38.1944444444444,0,0,0,0,100,100,100,100,37.2499315818281,38.1944444444444,25,0,11.75,11
2012,"Hommes","NA",6,42.8571428571429,0,0,53.5,55.5,54.0673003072197,57.3655913978495,33.3333333333333,0,0,0,0,0,83.3333333333333,100,49.7662250384024,44.4623655913978,50,50,15.5,17.5
2012,"Hommes","profinter",57,54.2857142857143,0,0,58.3333333333333,59,61.1454140965442,67.6470588235294,14.0350877192982,0,0,0,100,100,94.7368421052632,100,60.2096495905842,67.6470588235294,43.859649122807,0,20.5438596491228,23
2012,"Hommes","proflib",63,80.7692307692308,0,0,58.6666666666667,61,66.6673172350542,67.4418604651163,9.52380952380952,0,100,100,0,0,96.8253968253968,100,66.2149304233097,67.4418604651163,15.8730158730159,0,22.6666666666667,23
2012,"Total","agri",18,100,27.7777777777778,0,58.1111111111111,57.5,59.0264208840253,65,0,0,100,100,0,0,94.4444444444444,100,59.0264208840253,65,38.8888888888889,0,19.4444444444444,17.5
2012,"Total","artisancommercantpdg",23,100,13.0434782608696,0,55.5652173913044,57,57.251463878233,58.974358974359,4.34782608695652,0,100,100,0,0,100,100,57.251463878233,58.974358974359,26.0869565217391,0,18.0434782608696,21
2012,"Total","cadsupprive",108,100,18.5185185185185,0,54.287037037037,54,64.4876655215605,69.8896631823461,27.7777777777778,0,100,100,0,0,88.8888888888889,100,60.204722472295,65.821566110398,38.8888888888889,0,19.5,22
2012,"Total","cadsuppub",169,100,27.810650887574,0,54.6331360946746,56,60.1215252448928,66.6666666666667,33.7278106508876,0,100,100,0,0,92.3076923076923,100,56.2229357873978,60.5263157894737,44.3786982248521,0,18.396449704142,18
2012,"Total","collab",102,100,18.6274509803922,0,47.4705882352941,46.5,82.7937619203531,88.5164835164836,95.0980392156863,100,0,0,0,0,93.1372549019608,100,57.7975767856913,57.9796264855688,48.0392156862745,0,18.8333333333333,17
2012,"Total","employe",6,100,33.3333333333333,0,56.5,57,35.3033731913042,37.0726495726496,0,0,0,0,100,100,83.3333333333333,100,35.3033731913042,37.0726495726496,33.3333333333333,0,11.5,11
2012,"Total","NA",14,100,57.1428571428571,100,54.7857142857143,56.5,60.9327593802644,56.6666666666667,21.4285714285714,0,0,0,0,0,85.7142857142857,100,58.9476477177334,56.6666666666667,50,50,18.2142857142857,17.5
2012,"Total","profinter",105,100,45.7142857142857,0,57.2571428571429,57,55.345735803733,58.6206896551724,11.4285714285714,0,0,0,100,100,93.3333333333333,100,53.8590279027285,56.0975609756098,50.4761904761905,100,18.2380952380952,17
2012,"Total","proflib",78,100,19.2307692307692,0,57.8076923076923,60.5,63.5582035188428,62.5625625625626,8.97435897435897,0,100,100,0,0,97.4358974358974,100,62.9955755121182,62.5625625625626,23.0769230769231,0,21.1923076923077,21.5
2017,"Femmes","agri",2,13.3333333333333,100,100,42,42,24.2424242424242,24.2424242424242,0,0,100,100,0,0,50,50,24.2424242424242,24.2424242424242,100,100,8,8
2017,"Femmes","artisancommercantpdg",22,33.3333333333333,100,100,49.4090909090909,50,12.9651937586709,0,9.09090909090909,0,100,100,0,0,36.3636363636364,0,12.2629994013041,0,86.3636363636364,100,3.04545454545455,0
2017,"Femmes","cadsupprive",52,39.6946564885496,100,100,43.1346153846154,40,9.29463612415143,0,11.5384615384615,0,100,100,0,0,23.0769230769231,0,7.79733693922547,0,92.3076923076923,100,2.36538461538462,0
2017,"Femmes","cadsuppub",46,38.0165289256198,100,100,49.5217391304348,49.5,21.6439133930572,14.1352549889135,13.0434782608696,0,100,100,0,0,58.695652173913,100,20.153896817136,12.25,78.2608695652174,100,5.84782608695652,3
2017,"Femmes","collab",29,32.5842696629214,100,100,46.551724137931,49,75.1995401638554,81.8181818181818,93.1034482758621,100,0,0,0,0,72.4137931034483,100,33.196075816904,32.1428571428571,65.5172413793103,100,15.7586206896552,15
2017,"Femmes","employe",4,66.6666666666667,100,100,47.75,48,14.4047619047619,17.1428571428571,0,0,0,0,100,100,75,100,14.4047619047619,17.1428571428571,100,100,3.75,4
2017,"Femmes","NA",4,40,100,100,48.25,51,68.6249715197084,63.0075187969925,25,0,0,0,0,0,100,100,67.3091820460242,60.3759398496241,50,50,14,14
2017,"Femmes","profinter",45,56.9620253164557,100,100,51.1111111111111,51,24.7951661021481,17.6470588235294,0,0,0,0,100,100,68.8888888888889,100,24.7951661021481,17.6470588235294,88.8888888888889,100,7.44444444444444,3
2017,"Femmes","proflib",24,35.2941176470588,100,100,49.75,50.5,24.3712222143621,18.4375,8.33333333333333,0,100,100,0,0,62.5,100,23.5252626184025,18.4375,91.6666666666667,100,7.08333333333333,4.5
2017,"Hommes","agri",13,86.6666666666667,0,0,57.0769230769231,59,67.2438789210434,66.6666666666667,0,0,100,100,0,0,92.3076923076923,100,67.2438789210434,66.6666666666667,38.4615384615385,0,22.9230769230769,22
2017,"Hommes","artisancommercantpdg",44,66.6666666666667,0,0,49.5909090909091,48.5,27.7492127249006,19.6691176470588,18.1818181818182,0,100,100,0,0,59.0909090909091,100,26.4752529306042,17.7083333333333,79.5454545454545,100,8.27272727272727,3
2017,"Hommes","cadsupprive",79,60.3053435114504,0,0,47.5569620253165,49,39.5913782014437,36.75,17.7215189873418,0,100,100,0,0,64.5569620253165,100,34.5940352637992,27.6719576719576,73.4177215189873,100,10.2025316455696,7
2017,"Hommes","cadsuppub",75,61.9834710743802,0,0,52.88,53,50.7820571701964,57.1428571428571,20,0,100,100,0,0,81.3333333333333,100,47.8584858886513,54.3478260869565,56,100,15.12,16
2017,"Hommes","collab",60,67.4157303370787,0,0,48.2166666666667,48,87.7251930300864,92.1538461538462,96.6666666666667,100,0,0,0,0,90,100,64.4256033674817,73.030303030303,50,50,20.1833333333333,20
2017,"Hommes","employe",2,33.3333333333333,0,0,57.5,57.5,22.5,22.5,0,0,0,0,100,100,50,50,22.5,22.5,100,100,9,9
2017,"Hommes","NA",6,60,0,0,35.3333333333333,34,47.5,37.5,0,0,0,0,0,0,66.6666666666667,100,47.5,37.5,83.3333333333333,100,5.83333333333333,1.5
2017,"Hommes","profinter",34,43.0379746835443,0,0,47.5294117647059,49,44.8512331921785,44.0972222222222,14.7058823529412,0,0,0,100,100,70.5882352941177,100,41.8324423425052,42.6767676767677,76.4705882352941,100,12,9
2017,"Hommes","proflib",44,64.7058823529412,0,0,53.1136363636364,54,36.3248346656833,42.2619047619048,2.27272727272727,0,100,100,0,0,77.2727272727273,100,36.1500094908582,40.3985507246377,63.6363636363636,100,12.3636363636364,8
2017,"Total","agri",15,100,13.3333333333333,0,55.0666666666667,58,61.5103516305609,64.7058823529412,0,0,100,100,0,0,86.6666666666667,100,61.5103516305609,64.7058823529412,46.6666666666667,0,20.9333333333333,22
