"legis.annee","cabcollab","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2017,"Jamais collaborateur","Hommes",256,71.7086834733894,0,0,50.25390625,50.5,39.0938175610418,37.7976190476191,0,0,84.765625,100,12.109375,0,72.265625,100,39.0938175610418,37.7976190476191,70.703125,100,11.47265625,8
2017,"Total","Femmes",228,100,100,100,47.8947368421053,48.5,26.5064448272203,15,19.2982456140351,0,64.0350877192982,100,21.4912280701754,0,53.5087719298246,100,20.3213437212951,10.3448275862069,84.2105263157895,100,6.6140350877193,3
2017,"Total","Hommes",357,100,0,0,49.9159663865546,50,49.7497572083826,53.3333333333333,28.2913165266106,0,71.4285714285714,100,10.0840336134454,0,74.7899159663866,100,43.6274433984146,44.4444444444444,64.7058823529412,100,13.4957983193277,12
2022,"Ancien collaborateur","Femmes",58,25.6637168141593,100,100,46.4310344827586,46,63.0344012689311,69.570707070707,100,100,39.6551724137931,0,1.72413793103448,0,56.8965517241379,100,33.7158449279457,26.4912280701754,48.2758620689655,0,13.1206896551724,10.5
2022,"Ancien collaborateur","Hommes",131,35.3099730458221,0,0,44.7328244274809,44,72.9350248179593,84,100,100,33.587786259542,0,6.10687022900763,0,74.0458015267176,100,48.4596894717917,50,52.6717557251908,100,13.9770992366412,10
2022,"Jamais collaborateur","Femmes",168,74.3362831858407,100,100,50.4226190476191,50.5,31.3185981650311,27.7777777777778,0,0,65.4761904761905,100,30.3571428571429,0,67.8571428571429,100,31.3185981650311,27.7777777777778,53.5714285714286,100,8.09523809523809,5
2022,"Jamais collaborateur","Hommes",240,64.6900269541779,0,0,50.8375,52,44.458885986878,45.4545454545455,0,0,75.4166666666667,100,21.25,0,75.8333333333333,100,44.458885986878,45.4545454545455,47.5,0,11.8166666666667,8
2022,"Total","Femmes",226,100,100,100,49.3982300884956,49,39.494227409592,33.3333333333333,25.6637168141593,0,58.8495575221239,100,23.0088495575221,0,65.0442477876106,100,31.9365551083602,27.2727272727273,52.212389380531,100,9.38495575221239,7
2022,"Total","Hommes",371,100,0,0,48.6819407008086,50,54.5957723642466,53.8461538461538,35.3099730458221,0,60.6469002695418,100,15.9029649595687,0,75.2021563342318,100,45.8830850535185,47.5294117647059,49.3261455525606,0,12.5795148247978,8
2024,"Ancien collaborateur","Femmes",58,28.2926829268293,100,100,46.6551724137931,46.5,66.9077578017155,71.0526315789474,100,100,41.3793103448276,0,3.44827586206897,0,56.8965517241379,100,41.1673488001704,37.1428571428571,25.8620689655172,0,14.4310344827586,12.5
2024,"Ancien collaborateur","Hommes",134,36.0215053763441,0,0,44.2761194029851,41,72.8852245248492,81.6964285714286,100,100,35.8208955223881,0,4.47761194029851,0,70.8955223880597,100,51.2482587553892,52.7295285359801,27.6119402985075,0,13.6268656716418,10.5
2024,"Jamais collaborateur","Femmes",147,71.7073170731707,100,100,52.9047619047619,54,37.6553302406296,35.7142857142857,0,0,67.3469387755102,100,26.530612244898,0,69.3877551020408,100,37.6553302406296,35.7142857142857,17.687074829932,0,10.2312925170068,8
2024,"Jamais collaborateur","Hommes",238,63.9784946236559,0,0,51.3529411764706,52.5,42.0174335655225,40,0,0,72.6890756302521,100,23.9495798319328,0,72.6890756302521,100,42.0174335655225,40,26.0504201680672,0,11.3865546218487,9.5
2024,"Total","Femmes",205,100,100,100,51.1365853658537,52,45.8288026474036,42.4812030075188,28.2926829268293,0,60,100,20,0,65.8536585365854,100,38.6366295440307,35.8058608058608,20,0,11.419512195122,9
2024,"Total","Hommes",372,100,0,0,48.8037634408602,50,53.1197453002123,52.9411764705882,36.0215053763441,0,59.4086021505376,100,16.9354838709677,0,72.0430107526882,100,45.3375123804065,43.75,26.6129032258065,0,12.1935483870968,10
