"legis.annee","primodep","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2017,"Ancien député","Femmes",36,15.7894736842105,100,100,55.5277777777778,56.5,60.5469996488539,60.9126984126984,27.7777777777778,0,52.7777777777778,100,13.8888888888889,0,91.6666666666667,100,52.7176954673076,54.1666666666667,0,0,17.6111111111111,16.5
2017,"Ancien député","Hommes",126,35.2941176470588,0,0,56.484126984127,56,74.4191802900814,76.7942583732058,40.4761904761905,0,69.0476190476191,100,6.34920634920635,0,97.6190476190476,100,68.2392331305361,68.5213414634146,0,0,23.047619047619,23.5
2017,"Primo-député","Femmes",192,84.2105263157895,100,100,46.4635416666667,46.5,20.0904240231427,8.33333333333333,17.7083333333333,0,66.1458333333333,100,22.9166666666667,0,46.3541666666667,0,14.2152250675963,0,100,100,4.55208333333333,2
2017,"Primo-député","Hommes",231,64.7058823529412,0,0,46.3333333333333,47,36.1761881765309,29.4117647058824,21.6450216450216,0,72.7272727272727,100,12.1212121212121,0,62.3376623376623,100,30.0855852925311,20,100,100,8.28571428571429,5
2017,"Total","Femmes",228,100,100,100,47.8947368421053,48.5,26.5064448272203,15,19.2982456140351,0,64.0350877192982,100,21.4912280701754,0,53.5087719298246,100,20.3213437212951,10.3448275862069,84.2105263157895,100,6.6140350877193,3
2017,"Total","Hommes",357,100,0,0,49.9159663865546,50,49.7497572083826,53.3333333333333,28.2913165266106,0,71.4285714285714,100,10.0840336134454,0,74.7899159663866,100,43.6274433984146,44.4444444444444,64.7058823529412,100,13.4957983193277,12
2022,"Ancien député","Femmes",108,47.787610619469,100,100,52.1944444444444,52.5,47.0331714847021,36.1305361305361,27.7777777777778,0,61.1111111111111,100,18.5185185185185,0,62.962962962963,100,40.6861879332374,33.3333333333333,0,0,12.4166666666667,8
2022,"Ancien député","Hommes",188,50.6738544474394,0,0,52.9202127659574,54,63.051390500704,63.0681818181818,32.9787234042553,0,69.6808510638298,100,7.97872340425532,0,77.1276595744681,100,57.1941436470461,55.7777777777778,0,0,17.281914893617,14
2022,"Primo-député","Femmes",118,52.212389380531,100,100,46.8389830508475,47,32.5352021094904,22.2222222222222,23.728813559322,0,56.7796610169492,100,27.1186440677966,0,66.9491525423729,100,23.8599709623198,9.09090909090909,100,100,6.61016949152542,3
2022,"Primo-député","Hommes",183,49.3261455525606,0,0,44.327868852459,43,45.76434897728,43.5215946843854,37.7049180327869,0,51.3661202185792,100,24.0437158469945,0,73.224043715847,100,34.0693127447229,29.4372294372294,100,100,7.74863387978142,7
2022,"Total","Femmes",226,100,100,100,49.3982300884956,49,39.494227409592,33.3333333333333,25.6637168141593,0,58.8495575221239,100,23.0088495575221,0,65.0442477876106,100,31.9365551083602,27.2727272727273,52.212389380531,100,9.38495575221239,7
2022,"Total","Hommes",371,100,0,0,48.6819407008086,50,54.5957723642466,53.8461538461538,35.3099730458221,0,60.6469002695418,100,15.9029649595687,0,75.2021563342318,100,45.8830850535185,47.5294117647059,49.3261455525606,0,12.5795148247978,8
2024,"Ancien député","Femmes",164,80,100,100,51.5182926829268,52,46.7201516769292,41.8010752688172,26.219512195122,0,59.1463414634146,100,21.9512195121951,0,66.4634146341463,100,40.3481171301514,36.6028708133971,0,0,11.9024390243902,10
2024,"Ancien député","Hommes",273,73.3870967741936,0,0,50.1428571428571,51,57.3679005745134,55.5555555555556,35.5311355311355,0,60.4395604395604,100,16.4835164835165,0,75.8241758241758,100,50.4589807792719,50,0,0,13.8241758241758,10
2024,"Primo-député","Femmes",41,20,100,100,49.609756097561,52,42.1742716263486,49.074074074074,36.5853658536585,0,63.4146341463415,100,12.1951219512195,0,63.4146341463415,100,31.6195304409359,25.2352941176471,100,100,9.48780487804878,5
2024,"Primo-député","Hommes",99,26.6129032258065,0,0,45.1111111111111,43,41.1275569737996,40,37.3737373737374,0,56.5656565656566,100,18.1818181818182,0,61.6161616161616,100,30.8800338794426,21.5384615384616,100,100,7.6969696969697,4
2024,"Total","Femmes",205,100,100,100,51.1365853658537,52,45.8288026474036,42.4812030075188,28.2926829268293,0,60,100,20,0,65.8536585365854,100,38.6366295440307,35.8058608058608,20,0,11.419512195122,9
2024,"Total","Hommes",372,100,0,0,48.8037634408602,50,53.1197453002123,52.9411764705882,36.0215053763441,0,59.4086021505376,100,16.9354838709677,0,72.0430107526882,100,45.3375123804065,43.75,26.6129032258065,0,12.1935483870968,10
