"legis.annee","ProfSigni","ProfSigni.1","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2012,"profinter","profinter",105,Inf,45.7142857142857,0,57.2571428571429,57,55.345735803733,58.6206896551724,11.4285714285714,0,0,0,100,100,93.3333333333333,100,53.8590279027285,56.0975609756098,50.4761904761905,100,18.2380952380952,17
2012,"proflib","proflib",78,Inf,19.2307692307692,0,57.8076923076923,60.5,63.5582035188428,62.5625625625626,8.97435897435897,0,100,100,0,0,97.4358974358974,100,62.9955755121182,62.5625625625626,23.0769230769231,0,21.1923076923077,21.5
2012,"Total","Total",623,100,26.8057784911718,0,54.3964686998395,55,63.8620849656852,68,33.2263242375602,0,63.5634028892456,100,17.8170144462279,0,92.776886035313,100,57.5970912082645,60.7142857142857,41.5730337078652,0,18.9293739967897,19
2017,"agri","agri",15,Inf,13.3333333333333,0,55.0666666666667,58,61.5103516305609,64.7058823529412,0,0,100,100,0,0,86.6666666666667,100,61.5103516305609,64.7058823529412,46.6666666666667,0,20.9333333333333,22
2017,"artisancommercantpdg","artisancommercantpdg",66,Inf,33.3333333333333,0,49.530303030303,49,22.821206402824,10,15.1515151515152,0,100,100,0,0,51.5151515151515,100,21.7378350875041,6.44736842105263,81.8181818181818,100,6.53030303030303,2.5
2017,"cadsupprive","cadsupprive",131,Inf,39.6946564885496,0,45.8015267175573,47,27.613596449956,16.6666666666667,15.2671755725191,0,100,100,0,0,48.0916030534351,0,23.9999917401305,0,80.9160305343512,100,7.09160305343511,3
2017,"cadsuppub","cadsuppub",121,Inf,38.0165289256198,0,51.603305785124,52,39.7047463127716,37.5,17.3553719008264,0,100,100,0,0,72.7272727272727,100,37.3261627705546,36,64.4628099173554,100,11.595041322314,9
2017,"collab","collab",89,Inf,32.5842696629214,0,47.6741573033708,48,83.6438005231122,91.1764705882353,95.5056179775281,100,0,0,0,0,84.2696629213483,100,54.2496898959451,59.2592592592593,55.0561797752809,100,18.7415730337079,19
2017,"employe","employe",6,Inf,66.6666666666667,100,51,50,17.1031746031746,17.1428571428571,0,0,0,0,100,100,66.6666666666667,100,17.1031746031746,17.1428571428571,100,100,5.5,4
2017,"NA","NA",10,Inf,40,0,40.5,36.5,56.8888762309815,62.8571428571429,10,0,0,0,0,0,80,100,56.3040809093441,57.8947368421053,70,100,9.1,6
2017,"profinter","profinter",79,Inf,56.9620253164557,100,49.5696202531646,49,33.42689117887,22.5806451612903,6.32911392405063,0,0,0,100,100,69.620253164557,100,32.1276647372385,19.2307692307692,83.5443037974684,100,9.40506329113924,7
2017,"proflib","proflib",68,Inf,35.2941176470588,0,51.9264705882353,52.5,32.1059126240405,24.5689655172414,4.41176470588235,0,100,100,0,0,72.0588235294118,100,31.6942164770503,24.5689655172414,73.5294117647059,100,10.5,6.5
2017,"Total","Total",585,100,38.974358974359,0,49.1282051282051,50,40.6840666404722,36.0555555555556,24.7863247863248,0,68.5470085470085,100,14.5299145299145,0,66.4957264957265,100,34.5372636274418,27.2727272727273,72.3076923076923,100,10.8136752136752,7
2022,"agri","agri",11,Inf,18.1818181818182,0,54.3636363636364,56,62.3934559149291,58.3333333333333,0,0,100,100,0,0,90.9090909090909,100,62.3934559149291,58.3333333333333,27.2727272727273,0,18.3636363636364,21
2022,"artisancommercantpdg","artisancommercantpdg",52,Inf,32.6923076923077,0,53.25,53,40.1793643993321,35.0925925925926,13.4615384615385,0,100,100,0,0,76.9230769230769,100,39.1799854258152,34.8913043478261,32.6923076923077,0,11.1346153846154,8
2022,"cadsupprive","cadsupprive",116,Inf,39.6551724137931,0,48.5344827586207,48.5,42.079278235835,37.966537966538,21.551724137931,0,100,100,0,0,59.4827586206897,100,38.1217348517792,33.3333333333333,39.6551724137931,0,9.19827586206897,7
2022,"cadsuppub","cadsuppub",119,Inf,34.453781512605,0,49.7899159663866,50,42.8457812680472,42.8571428571429,25.2100840336134,0,100,100,0,0,69.7478991596639,100,40.1844434377212,34.7826086956522,55.4621848739496,100,11.4957983193277,8
2022,"collab","collab",117,Inf,29.0598290598291,0,44.0769230769231,43,83.8122971540051,92.3076923076923,94.8717948717949,100,0,0,0,0,76.9230769230769,100,50.8359516063971,54.5454545454545,48.7179487179487,0,15.6581196581197,14
2022,"employe","employe",27,Inf,51.8518518518519,100,45.5925925925926,46,23.1234943417344,17.156862745098,18.5185185185185,0,0,0,100,100,51.8518518518519,100,21.1044349697338,8.33333333333334,85.1851851851852,100,5.37037037037037,2
2022,"NA","NA",11,Inf,63.6363636363636,100,47.2727272727273,50,63.9147405550914,70,18.1818181818182,0,0,0,0,0,81.8181818181818,100,63.4517775921285,66.6666666666667,63.6363636363636,100,14.8181818181818,17
2022,"ouvrier","ouvrier",8,Inf,37.5,0,40.75,44,7.52935715989903,7.40740740740741,0,0,0,0,100,100,75,100,7.52935715989903,7.40740740740741,100,100,1.5,1.5
2022,"profinter","profinter",76,Inf,46.0526315789474,0,51.1578947368421,50.5,36.7348678113233,36.3636363636364,5.26315789473684,0,0,0,100,100,75,100,35.9396733033141,33.3333333333333,59.2105263157895,100,9.98684210526316,8
2022,"proflib","proflib",60,Inf,45,0,53.0166666666667,53,39.9151408072934,37.1473354231975,8.33333333333333,0,100,100,0,0,80,100,38.1872435552026,35.340022296544,48.3333333333333,0,11.0166666666667,8
2022,"Total","Total",597,100,37.85594639866,0,48.9530988274707,50,48.8658438401365,47.0588235294118,31.6582914572864,0,59.9664991624791,100,18.5929648241206,0,71.356783919598,100,40.5913999984416,36.8421052631579,50.4187604690117,100,11.3701842546064,8
2024,"agri","agri",12,Inf,33.3333333333333,0,57.25,59,43.6388441573601,48.0113636363637,8.33333333333333,0,100,100,0,0,66.6666666666667,100,42.2020625481647,48.0113636363637,33.3333333333333,0,13.3333333333333,12
2024,"artisancommercantpdg","artisancommercantpdg",54,Inf,27.7777777777778,0,54,55,38.1781570341391,35.2777777777778,14.8148148148148,0,100,100,0,0,77.7777777777778,100,37.1397173966144,35.2777777777778,27.7777777777778,0,10.9259259259259,9
2024,"cadsupprive","cadsupprive",105,Inf,30.4761904761905,0,49.7333333333333,50,45.7385510119311,46.6666666666667,24.7619047619048,0,100,100,0,0,63.8095238095238,100,41.8004980880045,41.025641025641,24.7619047619048,0,10.9428571428571,9
2024,"cadsuppub","cadsuppub",120,Inf,35.8333333333333,0,50.55,51,44.9046615643624,43.3760683760683,27.5,0,100,100,0,0,66.6666666666667,100,42.3128504157015,38.6752136752137,26.6666666666667,0,11.8416666666667,10
2024,"collab","collab",115,Inf,27.8260869565217,0,42.9652173913043,40,85.051476076823,89.8717948717949,95.6521739130435,100,0,0,0,0,73.0434782608696,100,54.8382358212771,60,26.0869565217391,0,15.2347826086957,13
2024,"employe","employe",23,Inf,39.1304347826087,0,45.1304347826087,44,25.8619820193275,21.2765957446809,21.7391304347826,0,0,0,100,100,34.7826086956522,0,24.5543651510699,15.3846153846154,17.3913043478261,0,5.17391304347826,2
2024,"NA","NA",14,Inf,64.2857142857143,100,46.8571428571429,51.5,58.5840672472063,57.5,14.2857142857143,0,0,0,0,0,78.5714285714286,100,58.234416897556,57.5,35.7142857142857,0,13.0714285714286,9.5
2024,"ouvrier","ouvrier",8,Inf,37.5,0,44.125,46,21.7129528795269,21.5909090909091,12.5,0,0,0,100,100,75,100,20.5765892431632,20.1923076923077,12.5,0,3.5,3.5
2024,"profinter","profinter",73,Inf,39.7260273972603,0,51.7671232876712,52,38.2533731388226,40,2.73972602739726,0,0,0,100,100,75.3424657534247,100,37.9679850109688,40,24.6575342465753,0,10.4931506849315,10
2024,"proflib","proflib",53,Inf,54.7169811320755,100,56.2264150943396,56,44.0832623132435,41.9354838709677,7.54716981132075,0,100,100,0,0,79.2452830188679,100,42.6167663282049,40,9.43396226415094,0,13.377358490566,10
2024,"Total","Total",577,100,35.528596187175,0,49.632582322357,51,50.514925158053,50,33.2755632582322,0,59.6187175043328,100,18.0242634315425,0,69.844020797227,100,42.9435016998099,40.7407407407407,24.263431542461,0,11.9185441941075,10
