"legis.annee","primodep","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2012,"Ancien député","profinter",52,49.5238095238095,38.4615384615385,0,59.9038461538462,61,68.9491944105155,72.8501228501229,9.61538461538461,0,0,0,100,100,98.0769230769231,100,68.5863935957696,72.8501228501229,0,0,24.1730769230769,23.5
2012,"Ancien député","proflib",60,76.9230769230769,11.6666666666667,0,60.4833333333333,61.5,68.7824970312846,68.1653746770026,11.6666666666667,0,100,100,0,0,100,100,68.0510806225426,68.1653746770026,0,0,24.3166666666667,23
2012,"Primo-député","agri",7,38.8888888888889,28.5714285714286,0,55.2857142857143,56,51.2519041658255,53.125,0,0,100,100,0,0,85.7142857142857,100,51.2519041658255,53.125,100,100,15.4285714285714,17
2012,"Primo-député","artisancommercantpdg",6,26.0869565217391,16.6666666666667,0,47.1666666666667,50.5,33.5920195173069,34.3501326259947,0,0,100,100,0,0,100,100,33.5920195173069,34.3501326259947,100,100,7.5,6
2012,"Primo-député","cadsupprive",42,38.8888888888889,30.952380952381,0,49.1666666666667,50,42.8285292006316,39.3358876117497,28.5714285714286,0,100,100,0,0,73.8095238095238,100,34.179022135711,32.8431372549019,100,100,10.9761904761905,11
2012,"Primo-député","cadsuppub",75,44.3786982248521,42.6666666666667,0,49.5466666666667,48,44.1894713031315,47.8260869565217,25.3333333333333,0,100,100,0,0,84,100,40.4380912768028,40.7407407407407,100,100,10.8133333333333,11
2012,"Primo-député","collab",49,48.0392156862745,20.4081632653061,0,42.3673469387755,41,76.2462496541441,83.3333333333333,93.8775510204082,100,0,0,0,0,87.7551020408163,100,44.9073749507389,44,100,100,13.1632653061224,13
2012,"Primo-député","employe",2,33.3333333333333,50,50,59,59,25.2431476569408,25.2431476569408,0,0,0,0,100,100,100,100,25.2431476569408,25.2431476569408,100,100,9.5,9.5
2012,"Primo-député","NA",7,50,57.1428571428571,100,53.7142857142857,61,34.1125157588572,36.4316239316239,14.2857142857143,0,0,0,0,0,71.4285714285714,100,34.1125157588572,36.4316239316239,100,100,10.7142857142857,10
2012,"Primo-député","profinter",53,50.4761904761905,52.8301886792453,100,54.6603773584906,55,41.9989462272672,42.3076923076923,13.2075471698113,0,0,0,100,100,88.6792452830189,100,39.4095370340845,36.6666666666667,100,100,12.4150943396226,11
2012,"Primo-député","proflib",18,23.0769230769231,44.4444444444444,0,48.8888888888889,50.5,46.1438918107033,51.7241379310344,0,0,100,100,0,0,88.8888888888889,100,46.1438918107033,51.7241379310344,100,100,10.7777777777778,11
2012,"Total","agri",18,100,27.7777777777778,0,58.1111111111111,57.5,59.0264208840253,65,0,0,100,100,0,0,94.4444444444444,100,59.0264208840253,65,38.8888888888889,0,19.4444444444444,17.5
2012,"Total","artisancommercantpdg",23,100,13.0434782608696,0,55.5652173913044,57,57.251463878233,58.974358974359,4.34782608695652,0,100,100,0,0,100,100,57.251463878233,58.974358974359,26.0869565217391,0,18.0434782608696,21
2012,"Total","cadsupprive",108,100,18.5185185185185,0,54.287037037037,54,64.4876655215605,69.8896631823461,27.7777777777778,0,100,100,0,0,88.8888888888889,100,60.204722472295,65.821566110398,38.8888888888889,0,19.5,22
2012,"Total","cadsuppub",169,100,27.810650887574,0,54.6331360946746,56,60.1215252448928,66.6666666666667,33.7278106508876,0,100,100,0,0,92.3076923076923,100,56.2229357873978,60.5263157894737,44.3786982248521,0,18.396449704142,18
2012,"Total","collab",102,100,18.6274509803922,0,47.4705882352941,46.5,82.7937619203531,88.5164835164836,95.0980392156863,100,0,0,0,0,93.1372549019608,100,57.7975767856913,57.9796264855688,48.0392156862745,0,18.8333333333333,17
2012,"Total","employe",6,100,33.3333333333333,0,56.5,57,35.3033731913042,37.0726495726496,0,0,0,0,100,100,83.3333333333333,100,35.3033731913042,37.0726495726496,33.3333333333333,0,11.5,11
2012,"Total","NA",14,100,57.1428571428571,100,54.7857142857143,56.5,60.9327593802644,56.6666666666667,21.4285714285714,0,0,0,0,0,85.7142857142857,100,58.9476477177334,56.6666666666667,50,50,18.2142857142857,17.5
2012,"Total","profinter",105,100,45.7142857142857,0,57.2571428571429,57,55.345735803733,58.6206896551724,11.4285714285714,0,0,0,100,100,93.3333333333333,100,53.8590279027285,56.0975609756098,50.4761904761905,100,18.2380952380952,17
2012,"Total","proflib",78,100,19.2307692307692,0,57.8076923076923,60.5,63.5582035188428,62.5625625625626,8.97435897435897,0,100,100,0,0,97.4358974358974,100,62.9955755121182,62.5625625625626,23.0769230769231,0,21.1923076923077,21.5
2017,"Ancien député","agri",8,53.3333333333333,0,0,59,59.5,76.4791205841569,80.4310344827586,0,0,100,100,0,0,100,100,76.4791205841569,80.4310344827586,0,0,26.125,26.5
2017,"Ancien député","artisancommercantpdg",12,18.1818181818182,25,0,54.8333333333333,56,68.5725768131227,65.686274509804,25,0,100,100,0,0,100,100,67.7661252002195,65.686274509804,0,0,20.75,17
2017,"Ancien député","cadsupprive",25,19.0839694656489,16,0,58,59,64.487717160585,64.7058823529412,20,0,100,100,0,0,92,100,62.971012355093,63.3333333333333,0,0,20.88,22
2017,"Ancien député","cadsuppub",43,35.5371900826446,23.2558139534884,0,56.8139534883721,55,63.6021727245189,66.6666666666667,30.2325581395349,0,100,100,0,0,97.6744186046512,100,60.3934666552192,64.1025641025641,0,0,20.3953488372093,22
2017,"Ancien député","collab",40,44.9438202247191,25,0,51.4,52.5,88.9824189907454,94.4272445820433,92.5,100,0,0,0,0,92.5,100,67.4493557774957,65.686274509804,0,0,23.15,22
2017,"Ancien député","NA",3,30,66.6666666666667,100,47.3333333333333,51,87.6190476190476,100,0,0,0,0,0,0,100,100,87.6190476190476,100,0,0,18,22
2017,"Ancien député","profinter",13,16.4556962025316,38.4615384615385,0,58.6923076923077,59,67.9714502482563,66.6666666666667,15.3846153846154,0,0,0,100,100,100,100,67.9714502482563,66.6666666666667,0,0,22.5384615384615,22
2017,"Ancien député","proflib",18,26.4705882352941,11.1111111111111,0,62.8888888888889,65.5,59.3853169775024,61.4198871037777,5.55555555555556,0,100,100,0,0,100,100,58.6277412199266,61.4198871037777,0,0,22.6666666666667,25.5
2017,"Primo-député","agri",7,46.6666666666667,28.5714285714286,0,50.5714285714286,58,44.4031871121654,48.4848484848485,0,0,100,100,0,0,71.4285714285714,100,44.4031871121654,48.4848484848485,100,100,15,16
2017,"Primo-député","artisancommercantpdg",54,81.8181818181818,35.1851851851852,0,48.3518518518519,48.5,12.6542352005354,0,12.962962962963,0,100,100,0,0,40.7407407407407,0,11.5093261735674,0,100,100,3.37037037037037,0
2017,"Primo-député","cadsupprive",106,80.9160305343512,45.2830188679245,0,42.9245283018868,42,18.7496251252856,0,14.1509433962264,0,100,100,0,0,37.7358490566038,0,14.6319579384568,0,100,100,3.83962264150943,0
2017,"Primo-député","cadsuppub",78,64.4628099173554,46.1538461538462,0,48.7307692307692,48,26.5305240601416,18.3333333333333,10.2564102564103,0,100,100,0,0,58.974358974359,100,24.6095721674703,14.3181818181818,100,100,6.74358974358974,3
2017,"Primo-député","collab",49,55.0561797752809,38.7755102040816,0,44.6326530612245,46,79.2857446311668,87.5,97.9591836734694,100,0,0,0,0,77.5510204081633,100,43.4744524416181,43.9024390243902,100,100,15.1428571428571,15
2017,"Primo-député","employe",6,100,66.6666666666667,100,51,50,17.1031746031746,17.1428571428571,0,0,0,0,100,100,66.6666666666667,100,17.1031746031746,17.1428571428571,100,100,5.5,4
2017,"Primo-député","NA",7,70,28.5714285714286,0,37.5714285714286,35,41.5237905369484,42.9924242424242,14.2857142857143,0,0,0,0,0,71.4285714285714,100,40.6465975544923,42.9924242424242,100,100,5.28571428571429,3
2017,"Primo-député","profinter",66,83.5443037974684,60.6060606060606,100,47.7727272727273,47.5,26.6226598470212,18.5855263157895,4.54545454545455,0,0,0,100,100,63.6363636363636,100,25.0675251668865,14.3181818181818,100,100,6.81818181818182,3
2017,"Primo-député","proflib",50,73.5294117647059,44,0,47.98,48,22.2853270567943,15.8333333333333,4,0,100,100,0,0,62,100,21.9981475696148,15.8333333333333,100,100,6.12,3
2017,"Total","agri",15,100,13.3333333333333,0,55.0666666666667,58,61.5103516305609,64.7058823529412,0,0,100,100,0,0,86.6666666666667,100,61.5103516305609,64.7058823529412,46.6666666666667,0,20.9333333333333,22
2017,"Total","artisancommercantpdg",66,100,33.3333333333333,0,49.530303030303,49,22.821206402824,10,15.1515151515152,0,100,100,0,0,51.5151515151515,100,21.7378350875041,6.44736842105263,81.8181818181818,100,6.53030303030303,2.5
2017,"Total","cadsupprive",131,100,39.6946564885496,0,45.8015267175573,47,27.613596449956,16.6666666666667,15.2671755725191,0,100,100,0,0,48.0916030534351,0,23.9999917401305,0,80.9160305343512,100,7.09160305343511,3
2017,"Total","cadsuppub",121,100,38.0165289256198,0,51.603305785124,52,39.7047463127716,37.5,17.3553719008264,0,100,100,0,0,72.7272727272727,100,37.3261627705546,36,64.4628099173554,100,11.595041322314,9
2017,"Total","collab",89,100,32.5842696629214,0,47.6741573033708,48,83.6438005231122,91.1764705882353,95.5056179775281,100,0,0,0,0,84.2696629213483,100,54.2496898959451,59.2592592592593,55.0561797752809,100,18.7415730337079,19
2017,"Total","employe",6,100,66.6666666666667,100,51,50,17.1031746031746,17.1428571428571,0,0,0,0,100,100,66.6666666666667,100,17.1031746031746,17.1428571428571,100,100,5.5,4
2017,"Total","NA",10,100,40,0,40.5,36.5,56.8888762309815,62.8571428571429,10,0,0,0,0,0,80,100,56.3040809093441,57.8947368421053,70,100,9.1,6
2017,"Total","profinter",79,100,56.9620253164557,100,49.5696202531646,49,33.42689117887,22.5806451612903,6.32911392405063,0,0,0,100,100,69.620253164557,100,32.1276647372385,19.2307692307692,83.5443037974684,100,9.40506329113924,7
2017,"Total","proflib",68,100,35.2941176470588,0,51.9264705882353,52.5,32.1059126240405,24.5689655172414,4.41176470588235,0,100,100,0,0,72.0588235294118,100,31.6942164770503,24.5689655172414,73.5294117647059,100,10.5,6.5
2022,"Ancien député","agri",8,72.7272727272727,25,0,56.375,58.5,74.4114597992307,73.4848484848485,0,0,100,100,0,0,87.5,100,74.4114597992307,73.4848484848485,0,0,23.125,21
2022,"Ancien député","artisancommercantpdg",35,67.3076923076923,31.4285714285714,0,54.6285714285714,54,41.2403002215944,35.7142857142857,11.4285714285714,0,100,100,0,0,71.4285714285714,100,40.3224020278342,35.7142857142857,0,0,12.6,8
2022,"Ancien député","cadsupprive",70,60.3448275862069,40,0,49.8142857142857,49.5,46.6720365918736,42.9276315789474,18.5714285714286,0,100,100,0,0,51.4285714285714,100,43.934765918084,40.0641025641026,0,0,10.7428571428571,8
2022,"Ancien député","cadsuppub",53,44.5378151260504,26.4150943396226,0,55.1509433962264,56,56.5217638974682,52.5,16.9811320754717,0,100,100,0,0,79.2452830188679,100,54.8627438767363,51.9230769230769,0,0,17.3584905660377,14
2022,"Ancien député","collab",60,51.2820512820513,31.6666666666667,0,49.5,51,86.3723162035077,92.3076923076923,98.3333333333333,100,0,0,0,0,83.3333333333333,100,63.0569807898145,64.0625,0,0,20.7666666666667,21
2022,"Ancien député","employe",4,14.8148148148148,75,100,53.75,55,34.8214285714286,33.8095238095238,0,0,0,0,100,100,100,100,34.8214285714286,33.8095238095238,0,0,10.25,11
2022,"Ancien député","NA",4,36.3636363636364,75,100,57,58,81.5241228070175,85.4166666666667,50,50,0,0,0,0,100,100,80.4824561403509,83.3333333333333,0,0,26,26
