"legis.annee","groupe.pol","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2012,"Non-inscrits","Hommes",6,1.31578947368421,0,0,53,54,55.3613053613054,66.0839160839161,33.3333333333333,0,66.6666666666667,100,0,0,66.6666666666667,100,42.968142968143,46.2121212121212,50,50,14.8333333333333,15.5
2012,"Radical","Femmes",5,2.9940119760479,100,100,52.2,54,44.9589710639186,48.5714285714286,20,0,40,0,40,0,100,100,34.9589710639186,48.5714285714286,40,0,9.4,10
2012,"Radical","Hommes",15,3.28947368421053,0,0,54.4,53,68.7590749324824,74.3589743589744,20,0,60,100,26.6666666666667,0,93.3333333333333,100,62.3822633382795,73.9130434782609,66.6666666666667,100,21.3333333333333,23
2012,"RPR/UMP/LR","Femmes",27,16.1676646706587,100,100,52.1481481481481,52,55.8120021160764,58.3333333333333,29.6296296296296,0,59.2592592592593,100,18.5185185185185,0,96.2962962962963,100,49.5157058197801,50,37.037037037037,0,14.962962962963,14
2012,"RPR/UMP/LR","Hommes",175,38.3771929824561,0,0,55.7885714285714,57,72.1722832076049,72.7272727272727,32,0,78.8571428571429,100,5.71428571428571,0,96.5714285714286,100,67.9047331411932,69.2307692307692,16,0,22.08,23
2012,"Socialiste","Femmes",118,70.6586826347305,100,100,53.3305084745763,54,48.4559972588387,49.2857142857143,22.8813559322034,0,52.5423728813559,100,33.8983050847458,0,88.9830508474576,100,42.3764100090593,41.5242165242165,63.5593220338983,100,13.9322033898305,11.5
2012,"Socialiste","Hommes",209,45.8333333333333,0,0,54.4736842105263,56,66.6286602279041,71.875,43.5406698564593,0,61.244019138756,100,17.7033492822966,0,94.2583732057416,100,58.5730532893023,63.8888888888889,48.3253588516746,0,19.8086124401914,20
2012,"Total","Femmes",167,100,100,100,52.8682634730539,54,49.445387124982,50,22.7544910179641,0,53.8922155688623,100,29.940119760479,0,88.0239520958084,100,43.2964435779501,44,59.2814371257485,100,13.8502994011976,12
2012,"Total","Hommes",456,100,0,0,54.9561403508772,56,69.1102688287482,73.2520325203252,37.0614035087719,0,67.1052631578947,100,13.3771929824561,0,94.5175438596491,100,62.8030287228087,66.6666666666667,35.0877192982456,0,20.7894736842105,22.5
2012,"UDF/MODEM/UDI/NC/Dém","Femmes",2,1.19760479041916,100,100,50.5,50.5,38.4615384615385,38.4615384615385,0,0,50,50,50,50,100,100,38.4615384615385,38.4615384615385,100,100,10.5,10.5
2012,"UDF/MODEM/UDI/NC/Dém","Hommes",30,6.57894736842105,0,0,53.9333333333333,52.5,74.5806093387274,82.0043103448276,40,0,56.6666666666667,100,13.3333333333333,0,90,100,69.4536847897599,77.2727272727273,20,0,21.6666666666667,23
2017,"Communiste","Femmes",3,1.31578947368421,100,100,57,67,75.9807376086446,81.8181818181818,33.3333333333333,0,0,0,33.3333333333333,0,100,100,57.7989194268264,62.7906976744186,33.3333333333333,0,23.6666666666667,27
2017,"Communiste","Hommes",13,3.64145658263305,0,0,55.0769230769231,56,62.6827599366994,74.0740740740741,53.8461538461538,100,46.1538461538462,0,23.0769230769231,0,92.3076923076923,100,51.8507667901282,45,61.5384615384615,100,19.3076923076923,20
2017,"LC/HOR","Femmes",8,3.50877192982456,100,100,45.25,47,53.6289853044172,45.14687100894,12.5,0,62.5,100,12.5,0,100,100,45.8164853044172,34.2672413793103,62.5,100,8.625,8.5
2017,"LC/HOR","Hommes",27,7.56302521008403,0,0,53.3333333333333,54,77.0708941620248,88.2352941176471,44.4444444444444,0,59.2592592592593,100,7.40740740740741,0,92.5925925925926,100,70.3696759317111,80,25.9259259259259,0,22.7407407407407,25
2017,"LFI","Femmes",7,3.07017543859649,100,100,41,40,10.9273182957393,0,14.2857142857143,0,42.8571428571429,0,42.8571428571429,0,28.5714285714286,0,10.1754385964912,0,100,100,2,0
2017,"LFI","Hommes",10,2.80112044817927,0,0,45.7,48.5,20.096659677004,0,10,0,50,50,40,0,40,0,18.8771474818821,0,100,100,6.7,0
2017,"LREM/RE","Femmes",153,67.1052631578947,100,100,45.9477124183007,46,15.6395936203258,0,15.0326797385621,0,73.8562091503268,100,19.6078431372549,0,37.2549019607843,0,11.2019473543574,0,94.7712418300654,100,3.35947712418301,0
2017,"LREM/RE","Hommes",168,47.0588235294118,0,0,46.3511904761905,47,32.2777056478558,21.4285714285714,20.8333333333333,0,78.5714285714286,100,9.52380952380952,0,56.5476190476191,100,25.7724533047871,15,83.9285714285714,100,7.84523809523809,3
2017,"Non-inscrits","Femmes",4,1.75438596491228,100,100,49.25,49,55.5759803921569,61.1519607843137,50,50,50,50,0,0,75,100,43.0759803921569,46.5686274509804,50,50,11.75,12
2017,"Non-inscrits","Hommes",13,3.64145658263305,0,0,53.9230769230769,50,61.3651497506937,70.3423304805793,38.4615384615385,0,53.8461538461538,100,7.69230769230769,0,100,100,57.9159811875562,67.1165240289665,61.5384615384615,100,16.5384615384615,18
2017,"RPR/UMP/LR","Femmes",23,10.0877192982456,100,100,54.3478260869565,56,57.7871599762839,53.3333333333333,26.0869565217391,0,43.4782608695652,0,26.0869565217391,0,100,100,46.7974079117567,45.1612903225806,56.5217391304348,100,16.695652173913,16
2017,"RPR/UMP/LR","Hommes",77,21.5686274509804,0,0,53.0909090909091,54,73.8646911013738,74.468085106383,33.7662337662338,0,71.4285714285714,100,7.79220779220779,0,97.4025974025974,100,67.8704678094648,68,32.4675324675325,0,20.1298701298701,22
2017,"Socialiste","Femmes",12,5.26315789473684,100,100,57.6666666666667,60,59.461010176558,60.1010101010101,33.3333333333333,0,58.3333333333333,100,8.33333333333333,0,83.3333333333333,100,50.4216169072886,49.0430622009569,8.33333333333333,0,19.1666666666667,20
2017,"Socialiste","Hommes",19,5.32212885154062,0,0,53.8947368421053,55,78.0121917460054,87.0967741935484,63.1578947368421,100,47.3684210526316,0,10.5263157894737,0,94.7368421052632,100,67.4722633457329,72.7272727272727,21.0526315789474,0,22.3157894736842,22
2017,"Total","Femmes",228,100,100,100,47.8947368421053,48.5,26.5064448272203,15,19.2982456140351,0,64.0350877192982,100,21.4912280701754,0,53.5087719298246,100,20.3213437212951,10.3448275862069,84.2105263157895,100,6.6140350877193,3
2017,"Total","Hommes",357,100,0,0,49.9159663865546,50,49.7497572083826,53.3333333333333,28.2913165266106,0,71.4285714285714,100,10.0840336134454,0,74.7899159663866,100,43.6274433984146,44.4444444444444,64.7058823529412,100,13.4957983193277,12
2017,"UDF/MODEM/UDI/NC/Dém","Femmes",18,7.89473684210526,100,100,51.7222222222222,51.5,35.6299277231216,31.7857142857142,33.3333333333333,0,33.3333333333333,0,38.8888888888889,0,88.8888888888889,100,24.7438116418836,20.748987854251,100,100,9.94444444444444,8
2017,"UDF/MODEM/UDI/NC/Dém","Hommes",30,8.40336134453782,0,0,53.5666666666667,55.5,42.2611897491305,36.75,10,0,83.3333333333333,100,6.66666666666667,0,83.3333333333333,100,40.5979737380884,36,93.3333333333333,100,12.6333333333333,9
2022,"Communiste","Femmes",4,1.76991150442478,100,100,42.75,39,40.1325757575758,28.1818181818182,25,0,25,0,50,50,100,100,30.7575757575758,28.1818181818182,50,50,7.5,7
2022,"Communiste","Hommes",18,4.85175202156334,0,0,50.8333333333333,53,59.4078597327244,66.6666666666667,44.4444444444444,0,27.7777777777778,0,33.3333333333333,0,94.4444444444444,100,51.1900601178041,51.4285714285714,50,50,17.1111111111111,14.5
2022,"Écologiste","Femmes",13,5.75221238938053,100,100,42.7692307692308,41,55.2528566864951,47.3684210526316,53.8461538461538,100,46.1538461538462,0,7.69230769230769,0,61.5384615384615,100,26.5816594626663,24,84.6153846153846,100,8.84615384615385,9
2022,"Écologiste","Hommes",10,2.69541778975741,0,0,44.8,43.5,58.1934782702957,66.2337662337663,40,0,50,50,10,0,70,100,37.0296421064595,39.2307692307693,80,100,11.2,12
2022,"LC/HOR","Femmes",11,4.86725663716814,100,100,47.2727272727273,49,58.2999093549968,48.2758620689655,18.1818181818182,0,54.5454545454545,100,27.2727272727273,0,90.9090909090909,100,52.9852240403115,48.2758620689655,63.6363636363636,100,11.9090909090909,13
2022,"LC/HOR","Hommes",20,5.39083557951482,0,0,51.1,53.5,56.2261684262396,49.6503496503496,25,0,80,100,10,0,80,100,51.686474808925,49.6503496503496,40,0,16.45,14
2022,"LFI","Femmes",32,14.1592920353982,100,100,43.9375,44,27.1400129668444,17.6470588235294,18.75,0,50,50,43.75,0,40.625,0,23.4448914111916,5.55555555555556,84.375,100,5.53125,2
2022,"LFI","Hommes",43,11.5902964959569,0,0,42.6046511627907,42,30.407005192261,16.0256410256411,23.2558139534884,0,41.8604651162791,0,39.5348837209302,0,39.5348837209302,0,19.016949169852,8.33333333333333,79.0697674418605,100,4.72093023255814,2
2022,"LIOT","Femmes",3,1.32743362831858,100,100,53,54,29.0549169859515,38.8888888888889,0,0,66.6666666666667,100,33.3333333333333,0,66.6666666666667,100,29.0549169859515,38.8888888888889,33.3333333333333,0,9.33333333333333,14
2022,"LIOT","Hommes",17,4.5822102425876,0,0,57.7647058823529,58,59.8142403759616,52.5,29.4117647058824,0,76.4705882352941,100,0,0,100,100,57.5517969370476,52.5,23.5294117647059,0,20.2941176470588,14
2022,"LREM/RE","Femmes",78,34.5132743362832,100,100,50.8461538461538,51,37.213039437882,29.8148148148148,23.0769230769231,0,70.5128205128205,100,11.5384615384615,0,50,50,30.2185387889993,25.6578947368421,30.7692307692308,0,9,5.5
2022,"LREM/RE","Hommes",108,29.1105121293801,0,0,47.5925925925926,48,54.7999055368207,55.0509337860781,35.1851851851852,0,71.2962962962963,100,9.25925925925926,0,64.8148148148148,100,45.693410906133,47.6673427991886,34.2592592592593,0,11.1759259259259,8
2022,"Non-inscrits","Femmes",2,0.884955752212389,100,100,56.5,56.5,57.1501014198783,57.1501014198783,50,50,50,50,0,0,50,50,57.1501014198783,57.1501014198783,0,0,19,19
2022,"Non-inscrits","Hommes",2,0.539083557951482,0,0,61,61,90.2777777777778,90.2777777777778,100,100,50,50,0,0,100,100,83.3333333333333,83.3333333333333,0,0,32.5,32.5
2022,"RN","Femmes",33,14.6017699115044,100,100,51.0909090909091,52,25.3241480072473,11.7647058823529,15.1515151515152,0,45.4545454545455,0,39.3939393939394,0,78.7878787878788,100,21.0025556468618,7.40740740740741,93.9393939393939,100,6.09090909090909,2
2022,"RN","Hommes",56,15.0943396226415,0,0,43.25,39.5,50.2459799567622,50,48.2142857142857,0,46.4285714285714,0,19.6428571428571,0,80.3571428571429,100,37.8674621584583,28.5714285714286,94.6428571428571,100,6.75,7
2022,"RPR/UMP/LR","Femmes",18,7.9646017699115,100,100,52.3333333333333,54,63.7166646676746,65.2797704447633,33.3333333333333,0,50,50,16.6666666666667,0,94.4444444444444,100,51.5232943438107,50.4524886877828,27.7777777777778,0,16.7222222222222,12
2022,"RPR/UMP/LR","Hommes",44,11.8598382749326,0,0,50.75,53,79.9774206736959,84.8571428571428,43.1818181818182,0,56.8181818181818,100,11.3636363636364,0,90.9090909090909,100,71.3869544427158,72.5705329153605,22.7272727272727,0,19.8863636363636,20.5
2022,"Socialiste","Femmes",11,4.86725663716814,100,100,55.9090909090909,58,52.5469050896227,46.1538461538462,18.1818181818182,0,72.7272727272727,100,18.1818181818182,0,100,100,50.0675662466475,42.4242424242424,27.2727272727273,0,16.5454545454545,14
