"legis.annee","ProfSigni","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1997,"proflib","Femmes",9,12.3287671232877,100,100,53.4444444444444,51,53.9500917942947,55.5555555555556,0,0,100,100,0,0,100,100,53.9500917942947,55.5555555555556,55.5555555555556,100,15,15
1997,"proflib","Hommes",94,16.1790017211704,0,0,53.6382978723404,53,57.4290001330359,56.5714285714286,8.51063829787234,0,100,100,0,0,95.7446808510638,100,56.8024506612565,56.5714285714286,29.7872340425532,0,16.7978723404255,14
1997,"Total","Femmes",73,100,100,100,50.4246575342466,50,48.013519118618,51.7241379310345,24.6575342465753,0,64.3835616438356,100,21.9178082191781,0,82.1917808219178,100,40.1903307212587,42.8571428571429,68.4931506849315,100,12.2876712328767,14
1997,"Total","Hommes",581,100,0,0,52.8760757314974,53,61.7744861036921,63.6363636363636,23.5800344234079,0,76.4199655765921,100,15.6626506024096,0,96.5576592082616,100,58.9292874265722,60.8695652173913,34.4234079173838,0,17.1256454388985,16
2007,"agri","Femmes",2,1.6260162601626,100,100,54,54,23.1617647058824,23.1617647058824,0,0,100,100,0,0,100,100,23.1617647058824,23.1617647058824,100,100,6,6
2007,"agri","Hommes",16,3.10077519379845,0,0,55.0625,56.5,66.0113125230402,68.5714285714286,0,0,100,100,0,0,93.75,100,66.0113125230402,68.5714285714286,37.5,0,19.4375,22
2007,"artisancommercantpdg","Femmes",3,2.4390243902439,100,100,53.3333333333333,53,49.7164126196384,46.1538461538462,0,0,100,100,0,0,100,100,49.7164126196384,46.1538461538462,100,100,14,12
2007,"artisancommercantpdg","Hommes",34,6.58914728682171,0,0,55.5588235294118,56.5,65.4524517709423,67.2619047619048,8.82352941176471,0,100,100,0,0,100,100,64.1352069242857,66.6666666666667,20.5882352941176,0,20.0294117647059,19.5
2007,"cadsupprive","Femmes",17,13.8211382113821,100,100,48.5882352941176,46,47.1147270048984,48,17.6470588235294,0,100,100,0,0,94.1176470588235,100,42.7263049694175,30,47.0588235294118,0,10.7058823529412,7
2007,"cadsupprive","Hommes",83,16.0852713178295,0,0,55.9156626506024,56,70.1675717616191,75,14.4578313253012,0,100,100,0,0,98.7951807228916,100,68.99338710549,72.7272727272727,15.6626506024096,0,21.3855421686747,24
2007,"cadsuppub","Femmes",33,26.8292682926829,100,100,55.6969696969697,56,54.8552916619515,60,24.2424242424242,0,100,100,0,0,87.8787878787879,100,50.5601579861303,54.5454545454545,36.3636363636364,0,16.6666666666667,18
2007,"cadsuppub","Hommes",163,31.5891472868217,0,0,56.4907975460123,58,66.4311314422636,67.8571428571429,35.5828220858896,0,100,100,0,0,96.319018404908,100,63.2563856893024,63.6363636363636,24.5398773006135,0,20.8588957055215,21
2007,"collab","Femmes",15,12.1951219512195,100,100,49.7333333333333,53,72.3807863389907,69.047619047619,86.6666666666667,100,0,0,0,0,86.6666666666667,100,40.4214189663106,40,40,0,16.8666666666667,17
2007,"collab","Hommes",77,14.922480620155,0,0,49.3376623376623,50,86.7713954089094,93.0232558139535,93.5064935064935,100,0,0,0,0,96.1038961038961,100,67.7678061142295,73.5294117647059,28.5714285714286,0,21.2337662337662,22
2007,"employe","Femmes",5,4.0650406504065,100,100,54,55,59.7057363888483,69.2307692307692,20,0,0,0,100,100,100,100,59.7057363888483,69.2307692307692,0,0,16.8,18
2007,"employe","Hommes",3,0.581395348837209,0,0,58,61,72.8921228921229,83.3333333333333,0,0,0,0,100,100,100,100,72.8921228921229,83.3333333333333,33.3333333333333,0,25,30
2007,"NA","Femmes",5,4.0650406504065,100,100,56.8,57,76.6833333333333,75,20,0,0,0,0,0,100,100,76.6833333333333,75,60,100,23.2,24
