"legis.annee","elu.local","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2007,"Total","ouvrier",5,100,0,0,61.4,61,75.2073732718894,85.7142857142857,0,0,0,0,100,100,100,100,75.2073732718894,85.7142857142857,40,0,28.4,36
2007,"Total","profinter",80,100,33.75,0,55.1875,57,66.099199805269,72.10433244916,10,0,0,0,100,100,97.5,100,64.8260979071671,71.1915535444948,38.75,0,20.325,21.5
2007,"Total","proflib",94,100,17.0212765957447,0,57.1382978723404,57,62.6301647203546,66.6666666666667,9.57446808510638,0,100,100,0,0,96.8085106382979,100,61.3342204492461,64.8529411764706,24.468085106383,0,20.1063829787234,21
2012,"Ancien élu local","agri",17,94.4444444444444,23.5294117647059,0,58.2352941176471,58,62.498563288968,65.7142857142857,0,0,100,100,0,0,100,100,62.498563288968,65.7142857142857,35.2941176470588,0,20.5882352941176,18
2012,"Ancien élu local","artisancommercantpdg",23,100,13.0434782608696,0,55.5652173913044,57,57.251463878233,58.974358974359,4.34782608695652,0,100,100,0,0,100,100,57.251463878233,58.974358974359,26.0869565217391,0,18.0434782608696,21
2012,"Ancien élu local","cadsupprive",96,88.8888888888889,16.6666666666667,0,55.46875,56,71.6020657407411,75,29.1666666666667,0,100,100,0,0,100,100,67.2774142306073,69.8896631823461,32.2916666666667,0,21.6979166666667,23
2012,"Ancien élu local","cadsuppub",156,92.3076923076923,26.2820512820513,0,55.2948717948718,56,64.6584128510041,67.9285714285714,35.2564102564103,0,100,100,0,0,100,100,60.7722053003725,62.5625625625626,40.3846153846154,0,19.8012820512821,20
2012,"Ancien élu local","collab",95,93.1372549019608,16.8421052631579,0,47.9789473684211,47,84.8539437514187,89.4736842105263,94.7368421052632,100,0,0,0,0,100,100,61.680405751855,62.962962962963,45.2631578947368,0,19.6210526315789,18
2012,"Ancien élu local","employe",5,83.3333333333333,20,0,57.6,60,38.5178939834112,43.5897435897436,0,0,0,0,100,100,100,100,38.5178939834112,43.5897435897436,40,0,12.8,11
2012,"Ancien élu local","NA",12,85.7142857142857,58.3333333333333,100,58.6666666666667,59,66.0104893286197,57.3655913978495,25,0,0,0,0,0,100,100,63.8599516942111,56.6666666666667,41.6666666666667,0,21.25,19.5
2012,"Ancien élu local","profinter",98,93.3333333333333,44.8979591836735,0,57.5918367346939,58,59.0560483222699,62.7136752136752,12.2448979591837,0,0,0,100,100,100,100,57.463146999765,58.7975243147657,47.9591836734694,0,19.4897959183673,19.5
