"legis.annee","tendance.pol","cabcollab","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2017,"Centre","Jamais collaborateur",302,68.6363636363636,47.0198675496689,0,47.7682119205298,47,19.6195621296981,8.57843137254902,0,0,81.4569536423841,100,17.2185430463576,0,52.6490066225166,100,19.6195621296981,8.57843137254902,92.0529801324503,100,5.50993377483444,2
2017,"COM/LFI","Ancien collaborateur",10,6.89655172413793,20,0,49.8,48,68.0821718216897,75.3703703703704,100,100,30,0,0,0,90,100,46.8002072920061,49.780701754386,90,100,17.5,16
2017,"COM/LFI","Jamais collaborateur",23,5.22727272727273,34.7826086956522,0,49.2608695652174,50,27.802356462015,13.3333333333333,0,0,47.8260869565217,0,47.8260869565217,0,52.1739130434783,100,27.802356462015,13.3333333333333,73.9130434782609,100,9.91304347826087,2
2017,"Droite","Ancien collaborateur",45,31.0344827586207,15.5555555555556,0,51.3111111111111,53,87.0795593063328,91.1764705882353,100,100,35.5555555555556,0,2.22222222222222,0,95.5555555555556,100,65.7961730134531,72.3404255319149,31.1111111111111,0,22.5777777777778,27
2017,"Droite","Jamais collaborateur",90,20.4545454545455,26.6666666666667,0,53.6777777777778,54,62.3116861142816,64.7058823529412,0,0,77.7777777777778,100,15.5555555555556,0,97.7777777777778,100,62.3116861142816,64.7058823529412,40,0,17.7888888888889,16
2017,"ECO/SOC/RAD","Ancien collaborateur",16,11.0344827586207,25,0,52.125,52,81.0607617342836,89.2045454545454,100,100,25,0,6.25,0,87.5,100,61.765051807008,64.8529411764706,12.5,0,21.6875,21.5
2017,"ECO/SOC/RAD","Jamais collaborateur",15,3.40909090909091,53.3333333333333,100,58.8,61,59.9194385029507,61.1111111111111,0,0,80,100,13.3333333333333,0,93.3333333333333,100,59.9194385029507,61.1111111111111,20,0,20.4666666666667,22
2017,"Non-inscrits","Ancien collaborateur",7,4.82758620689655,28.5714285714286,0,50,48,82.2013223092346,82.6086956521739,100,100,14.2857142857143,0,0,0,100,100,69.1456047724276,79.1666666666667,71.4285714285714,100,18.7142857142857,19
2017,"Non-inscrits","Jamais collaborateur",10,2.27272727272727,20,0,54.8,54.5,42.5862736013677,46.8085106382979,0,0,80,100,10,0,90,100,42.5862736013677,46.8085106382979,50,50,13.1,9
2017,"Total","Ancien collaborateur",145,100,30.3448275862069,0,47.7241379310345,48,70.7771321170838,80,100,100,37.2413793103448,0,3.44827586206897,0,73.7931034482759,100,46.1051365751273,50,57.9310344827586,100,16.5172413793103,16
2017,"Total","Jamais collaborateur",440,100,41.8181818181818,0,49.5909090909091,50,30.6989533816423,21.4285714285714,0,0,78.8636363636364,100,18.1818181818182,0,64.0909090909091,100,30.6989533816423,21.4285714285714,77.0454545454545,100,8.93409090909091,3.5
2022,"Centre","Ancien collaborateur",74,39.1534391534392,37.8378378378378,0,46.2297297297297,45.5,66.2610738387166,75.5,100,100,43.2432432432432,0,5.40540540540541,0,62.1621621621622,100,41.9350484833129,41.4285714285714,45.9459459459459,0,13.2837837837838,10
2022,"Centre","Jamais collaborateur",186,45.5882352941176,39.7849462365591,0,52.3440860215054,53,39.7673867371816,35.248447204969,0,0,83.8709677419355,100,12.9032258064516,0,68.8172043010753,100,39.7673867371816,35.248447204969,26.3440860215054,0,10.7849462365591,8
2022,"COM/LFI","Ancien collaborateur",25,13.2275132275132,28,0,43.44,42,64.1200253410898,70.8333333333333,100,100,32,0,8,0,64,100,33.3146767562874,28.5714285714286,60,100,11.96,8
2022,"COM/LFI","Jamais collaborateur",72,17.6470588235294,40.2777777777778,0,44.9722222222222,45,24.4333029711089,15.3846153846154,0,0,44.4444444444444,0,51.3888888888889,100,48.6111111111111,0,24.4333029711089,15.3846153846154,79.1666666666667,100,5.81944444444444,2
2022,"Droite","Ancien collaborateur",32,16.9312169312169,25,0,47.75,51.5,83.035860533288,94.5721583652618,100,100,28.125,0,0,0,81.25,100,59.7009670707722,60.7692307692307,21.875,0,19,18.5
2022,"Droite","Jamais collaborateur",61,14.9509803921569,34.4262295081967,0,52.2786885245902,54,61.8783820987755,58.3333333333333,0,0,77.0491803278689,100,21.3114754098361,0,93.4426229508197,100,61.8783820987755,58.3333333333333,37.7049180327869,0,16.8524590163934,14
