"legis.annee","groupe.pol","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2022,"LFI",75,12.5628140703518,42.6666666666667,0,43.1733333333333,42,29.0196523294129,16.6666666666667,21.3333333333333,0,45.3333333333333,0,41.3333333333333,0,40,0,20.8973082038455,8.33333333333333,81.3333333333333,100,5.06666666666667,2
2022,"LIOT",20,3.3500837520938,15,0,57.05,57.5,55.2003418674601,50.0994694960212,25,0,75,100,5,0,95,100,53.2772649443831,50.0994694960212,25,0,18.65,14
2022,"LREM/RE",186,31.1557788944724,41.9354838709677,0,48.9569892473118,49.5,47.4247681404916,42.6406926406926,30.1075268817204,0,70.9677419354839,100,10.2150537634409,0,58.6021505376344,100,39.2039484053995,33.3333333333333,32.7956989247312,0,10.2634408602151,8
2022,"Non-inscrits",4,0.670016750418761,50,50,58.75,60,73.713939598828,88.8071895424837,75,100,50,50,0,0,75,100,70.2417173766058,83.3333333333333,0,0,25.75,31
2022,"RN",89,14.9078726968174,37.0786516853933,0,46.1573033707865,46,40.9002929756941,32.5757575757575,35.9550561797753,0,46.0674157303371,0,26.9662921348315,0,79.7752808988764,100,31.5431222166096,20.6060606060606,94.3820224719101,100,6.50561797752809,4
2022,"RPR/UMP/LR",62,10.3852596314908,29.0322580645161,0,51.2096774193548,53.5,75.2565560267865,78.5714285714286,40.3225806451613,0,54.8387096774194,100,12.9032258064516,0,91.9354838709677,100,65.6200853817433,67.948717948718,24.1935483870968,0,18.9677419354839,18.5
2022,"Socialiste",31,5.19262981574539,35.4838709677419,0,54.1935483870968,57,56.853585693938,51.4285714285714,38.7096774193548,0,64.5161290322581,100,16.1290322580645,0,93.5483870967742,100,51.4314832691571,48.2758620689655,41.9354838709677,0,17.2903225806452,19
2022,"Total",597,100,37.85594639866,0,48.9530988274707,50,48.8658438401365,47.0588235294118,31.6582914572864,0,59.9664991624791,100,18.5929648241206,0,71.356783919598,100,40.5913999984416,36.8421052631579,50.4187604690117,100,11.3701842546064,8
2022,"UDF/MODEM/UDI/NC/Dém",54,9.04522613065327,38.8888888888889,0,53.8888888888889,52.5,43.9822164018551,41.9512195121951,24.0740740740741,0,75.9259259259259,100,14.8148148148148,0,85.1851851851852,100,39.6749596034992,37.2294372294373,31.4814814814815,0,13.0925925925926,8
2024,"Communiste",18,3.11958405545927,27.7777777777778,0,50.1111111111111,50,58.0296758454222,62.7413127413128,22.2222222222222,0,33.3333333333333,0,38.8888888888889,0,94.4444444444444,100,54.3113793851903,54.8048048048048,11.1111111111111,0,15.3333333333333,12
2024,"Écologiste",38,6.58578856152513,47.3684210526316,0,47.8684210526316,48,52.5115454488759,53.968253968254,42.1052631578947,0,65.7894736842105,100,7.89473684210526,0,65.7894736842105,100,38.6720669231985,40.3716216216216,31.5789473684211,0,11.4736842105263,11
2024,"LC/HOR",30,5.19930675909879,36.6666666666667,0,50.9333333333333,54.5,58.8496448751373,52.4731182795699,23.3333333333333,0,80,100,6.66666666666667,0,76.6666666666667,100,55.0234415839648,52.4731182795699,6.66666666666667,0,15.0333333333333,14
2024,"LFI",72,12.4783362218371,38.8888888888889,0,42.5416666666667,40.5,34.7658320693728,24.1666666666667,27.7777777777778,0,44.4444444444444,0,34.7222222222222,0,31.9444444444444,0,25.7624879639721,20.7142857142857,19.4444444444444,0,5.38888888888889,3
2024,"LIOT",23,3.98613518197574,21.7391304347826,0,57.0869565217391,59,58.3928456367991,53.7037037037037,26.0869565217391,0,69.5652173913043,100,8.69565217391304,0,95.6521739130435,100,53.0456695219656,47.0588235294118,26.0869565217391,0,18.9565217391304,16
2024,"LREM/RE",97,16.8110918544194,40.2061855670103,0,49.9072164948454,50,51.9095243917204,47.6190476190476,35.0515463917526,0,67.0103092783505,100,11.340206185567,0,58.7628865979381,100,42.5594627152886,35.7142857142857,7.21649484536082,0,11.4536082474227,10
2024,"Non-inscrits",9,1.55979202772964,44.4444444444444,0,54.1111111111111,53,68.5780813231793,88.4615384615385,33.3333333333333,0,66.6666666666667,100,0,0,77.7777777777778,100,68.5780813231793,88.4615384615385,0,0,16.8888888888889,13
2024,"RN",124,21.4904679376083,31.4516129032258,0,47.2661290322581,48,40.4910429246254,33.3333333333333,33.8709677419355,0,45.9677419354839,0,26.6129032258065,0,68.5483870967742,100,33.4863156950884,25,36.2903225806452,0,6.86290322580645,4
2024,"RPR/UMP/LR",48,8.31889081455806,29.1666666666667,0,52.6041666666667,55,78.8533859599574,84.2592592592592,41.6666666666667,0,62.5,100,8.33333333333333,0,95.8333333333333,100,69.7919243358729,71.82418699187,12.5,0,21.25,20.5
2024,"Socialiste",65,11.265164644714,38.4615384615385,0,53.7692307692308,54,57.5487593662693,58.8235294117647,44.6153846153846,0,67.6923076923077,100,13.8461538461538,0,87.6923076923077,100,49.0347399965732,50,49.2307692307692,0,16.6923076923077,16
2024,"Total",577,100,35.528596187175,0,49.632582322357,51,50.514925158053,50,33.2755632582322,0,59.6187175043328,100,18.0242634315425,0,69.844020797227,100,42.9435016998099,40.7407407407407,24.263431542461,0,11.9185441941075,10
2024,"UDF/MODEM/UDI/NC/Dém",36,6.23916811091854,33.3333333333333,0,55.6388888888889,54.5,49.5984601644027,50,16.6666666666667,0,77.7777777777778,100,13.8888888888889,0,88.8888888888889,100,48.4365335531296,50,0,0,15.25,11
2024,"UDR",17,2.94627383015598,29.4117647058824,0,47.1176470588235,41,24.9310681017275,10.427807486631,29.4117647058824,0,64.7058823529412,100,17.6470588235294,0,52.9411764705882,100,20.0729877728217,10.427807486631,82.3529411764706,100,7.17647058823529,4
