"legis.annee","ProfSigni","primodep","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1997,"proflib","Ancien député",70,17.3267326732673,5.71428571428571,0,56.1428571428571,55,63.0917719392573,63.6363636363636,10,0,100,100,0,0,98.5714285714286,100,62.4646912200107,63.6363636363636,0,0,19.3714285714286,19.5
1997,"proflib","Primo-député",33,13.2,15.1515151515152,0,48.2727272727273,48,44.4682667547276,42.1052631578947,3.03030303030303,0,100,100,0,0,90.9090909090909,100,44.0137213001821,42.1052631578947,100,100,10.8484848484848,9
1997,"Total","Ancien député",404,100,5.69306930693069,0,55.029702970297,54,65.8907967867539,68.1334622823985,23.5148514851485,0,78.960396039604,100,12.6237623762376,0,97.7722772277228,100,63.2305142364553,65.2173913043478,0,0,19.4752475247525,20
1997,"Total","Primo-député",250,100,20,0,48.68,49,51.1043256802226,51.8518518518518,24,0,68.8,100,22.4,0,90.4,100,46.5067295438496,47.4424552429667,100,100,11.916,13
2007,"agri","Ancien député",10,2.18340611353712,0,0,54.9,56.5,70.4508228695872,70.7681365576102,0,0,100,100,0,0,100,100,70.4508228695872,70.7681365576102,0,0,21,19.5
2007,"agri","Primo-député",8,4.41988950276243,25,0,55,55.5,49.7495376355671,53.0357142857143,0,0,100,100,0,0,87.5,100,49.7495376355671,53.0357142857143,100,100,14.125,16
2007,"artisancommercantpdg","Ancien député",27,5.89519650655022,0,0,57.8888888888889,58,69.1368067339474,67.8571428571429,11.1111111111111,0,100,100,0,0,100,100,67.4780539640835,66.6666666666667,0,0,22.6296296296296,24
2007,"artisancommercantpdg","Primo-député",10,5.52486187845304,30,0,48.6,50.5,50.7838816254376,42.4317617866005,0,0,100,100,0,0,100,100,50.7838816254376,42.4317617866005,100,100,11.2,12
2007,"cadsupprive","Ancien député",79,17.2489082969432,11.3924050632911,0,55.9240506329114,56,69.3274609763234,75,15.1898734177215,0,100,100,0,0,98.7341772151899,100,67.9571954414833,72,0,0,21,21
2007,"cadsupprive","Primo-député",21,11.6022099447514,38.0952380952381,0,49.9523809523809,47,54.6661618175291,60,14.2857142857143,0,100,100,0,0,95.2380952380952,100,51.6276130646946,54.5454545454545,100,100,14.1904761904762,12
2007,"cadsuppub","Ancien député",144,31.4410480349345,14.5833333333333,0,58.0208333333333,59,68.423073956612,68.768472906404,35.4166666666667,0,100,100,0,0,95.8333333333333,100,65.2986048645314,64.7853736089031,0,0,22.4375,23.5
2007,"cadsuppub","Primo-député",52,28.7292817679558,23.0769230769231,0,51.75,51.5,53.5687769265621,54.5454545454545,28.8461538461538,0,100,100,0,0,92.3076923076923,100,49.5437880847322,50.8620689655173,100,100,13.8269230769231,12
2007,"collab","Ancien député",64,13.9737991266376,14.0625,0,52.90625,53.5,88.1378120769676,92.6654740608229,95.3125,100,0,0,0,0,100,100,72.9556727701378,75.3378378378379,0,0,24.375,24
2007,"collab","Primo-député",28,15.4696132596685,21.4285714285714,0,41.3928571428571,39.5,75.9389024516056,80.3225806451613,85.7142857142857,100,0,0,0,0,82.1428571428571,100,41.2599749286253,40.4545454545455,100,100,11.7142857142857,9.5
2007,"employe","Ancien député",7,1.52838427947598,71.4285714285714,100,56.1428571428571,56,67.2930292095377,70.5882352941177,14.2857142857143,0,0,0,100,100,100,100,67.2930292095377,70.5882352941177,0,0,21,24
2007,"employe","Primo-député",1,0.552486187845304,0,0,51,51,46.1538461538462,46.1538461538462,0,0,0,0,100,100,100,100,46.1538461538462,46.1538461538462,100,100,12,12
2007,"NA","Ancien député",4,0.873362445414847,50,50,48.75,48.5,90.9722222222222,94.4444444444445,25,0,0,0,0,0,100,100,90.9722222222222,94.4444444444445,0,0,21,22
2007,"NA","Primo-député",5,2.76243093922652,60,100,54.2,51,51.6833333333333,50,20,0,0,0,0,0,80,100,45.5294871794872,48,100,100,17,13
2007,"ouvrier","Ancien député",3,0.655021834061135,0,0,65,67,95.2380952380952,100,0,0,0,0,100,100,100,100,95.2380952380952,100,0,0,38,36
