"legis.annee","tendance.pol","primodep","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2022,"Total","Primo-député",301,100,39.202657807309,0,45.312292358804,45,40.5528668778477,36.3636363636364,32.2259136212625,0,53.4883720930233,100,25.2491694352159,0,70.7641196013289,100,30.0474508304429,20.9302325581395,100,100,7.30232558139535,6
2024,"Centre","Ancien député",143,32.7231121281465,35.6643356643357,0,52.7202797202797,53,51.2009786041545,47.6190476190476,25.8741258741259,0,72.027972027972,100,12.5874125874126,0,72.7272727272727,100,46.1661106599266,42.8571428571429,0,0,13.3916083916084,10
2024,"Centre","Primo-député",13,9.28571428571429,38.4615384615385,0,47.5384615384615,42,64.7741493205889,70.2702702702703,69.2307692307692,100,46.1538461538462,0,0,0,53.8461538461538,100,37.7138204562591,38.8888888888889,100,100,13.9230769230769,13
2024,"COM/LFI","Ancien député",74,16.9336384439359,36.4864864864865,0,45.1756756756757,44,41.4800249915736,28.5714285714286,24.3243243243243,0,44.5945945945946,0,37.8378378378378,0,45.9459459459459,0,34.6064339193688,25,0,0,8.12162162162162,4
2024,"COM/LFI","Primo-député",16,11.4285714285714,37.5,0,38.875,34,30.0067057125881,20,37.5,0,31.25,0,25,0,37.5,0,16.980620686503,0,100,100,3.9375,1.5
2024,"Droite","Ancien député",70,16.0183066361556,34.2857142857143,0,52.4857142857143,55,70.7658732910855,73.9007092198582,34.2857142857143,0,67.1428571428571,100,8.57142857142857,0,87.1428571428571,100,63.8172601002583,64.4144144144145,0,0,19.0857142857143,16
2024,"Droite","Primo-député",8,5.71428571428571,12.5,0,47.375,45,74.6050927445115,76.8421052631579,37.5,0,87.5,100,0,0,100,100,66.6884260778449,67.1568627450981,100,100,16.875,13
2024,"ECO/SOC/RAD","Ancien député",59,13.5011441647597,45.7627118644068,0,53,53,59.1796841094907,55.5555555555556,45.7627118644068,0,64.406779661017,100,11.864406779661,0,79.6610169491525,100,48.7605618711597,47.6190476190476,0,0,16.5932203389831,16
2024,"ECO/SOC/RAD","Primo-député",44,31.4285714285714,36.3636363636364,0,49.7045454545455,49.5,51.0115164410191,55.5555555555556,40.9090909090909,0,70.4545454545455,100,11.3636363636364,0,79.5454545454545,100,40.4528066468268,44.6360153256705,100,100,12.3181818181818,12
2024,"Extrême-droite","Ancien député",82,18.7643020594966,37.8048780487805,0,48.390243902439,48.5,46.8717153232841,40,37.8048780487805,0,42.6829268292683,0,26.8292682926829,0,76.8292682926829,100,39.5329309965305,33.3333333333333,0,0,9.0609756097561,6.5
2024,"Extrême-droite","Primo-député",59,42.1428571428571,22.0338983050847,0,45.6610169491525,43,26.8161489700232,13.8590203106332,27.1186440677966,0,55.9322033898305,100,23.728813559322,0,52.5423728813559,100,20.9079391562834,9.6736596736597,100,100,3.89830508474576,3
2024,"Non-inscrits","Ancien député",9,2.05949656750572,44.4444444444444,0,54.1111111111111,53,68.5780813231793,88.4615384615385,33.3333333333333,0,66.6666666666667,100,0,0,77.7777777777778,100,68.5780813231793,88.4615384615385,0,0,16.8888888888889,13
2024,"Total","Ancien député",437,100,37.5286041189931,0,50.6590389016018,52,53.3535768522058,51.4285714285714,32.0366132723112,0,59.954233409611,100,18.5354691075515,0,72.3112128146453,100,46.6470689667299,43.4782608695652,0,0,13.1029748283753,10
2024,"Total","Primo-député",140,100,29.2857142857143,0,46.4285714285714,46,41.4354142245493,40.5128205128205,37.1428571428571,0,58.5714285714286,100,16.4285714285714,0,62.1428571428571,100,31.0975328681171,23.5384615384616,100,100,8.22142857142857,5
