"legis.annee","genre","tendance.pol","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2022,"Total","ECO/SOC/RAD",54,100,44.4444444444444,0,49.7037037037037,50,56.7163532618421,55.126050420168,42.5925925925926,0,57.4074074074074,100,12.962962962963,0,81.4814814814815,100,42.7821106559838,42.2647527910686,59.2592592592593,100,14.1296296296296,12.5
2022,"Total","Extrême-droite",89,100,37.0786516853933,0,46.1573033707865,46,40.9002929756941,32.5757575757575,35.9550561797753,0,46.0674157303371,0,26.9662921348315,0,79.7752808988764,100,31.5431222166096,20.6060606060606,94.3820224719101,100,6.50561797752809,4
2022,"Total","Non-inscrits",4,100,50,50,58.75,60,73.713939598828,88.8071895424837,75,100,50,50,0,0,75,100,70.2417173766058,83.3333333333333,0,0,25.75,31
2024,"Femmes","Centre",56,35.8974358974359,100,100,53.0535714285714,52,43.4348434024825,39.6428571428572,26.7857142857143,0,66.0714285714286,100,16.0714285714286,0,57.1428571428571,100,38.5903315372939,32.7380952380952,8.92857142857143,0,11.4642857142857,10
2024,"Femmes","COM/LFI",33,36.6666666666667,100,100,43.0606060606061,43,36.2810841398698,33.3333333333333,24.2424242424242,0,45.4545454545455,0,39.3939393939394,0,39.3939393939394,0,28.4613453990784,22.2222222222222,18.1818181818182,0,5.75757575757576,4
2024,"Femmes","Droite",25,32.0512820512821,100,100,52.44,55,65.4860143369776,67.4418604651163,32,0,64,100,8,0,84,100,55.4372310885339,52.6315789473684,4,0,17.28,14
2024,"Femmes","ECO/SOC/RAD",43,41.747572815534,100,100,51.2325581395349,51,58.0708559251698,58.8235294117647,41.8604651162791,0,72.0930232558139,100,6.97674418604651,0,79.0697674418605,100,46.8786159898039,50,37.2093023255814,0,15.0697674418605,15
2024,"Femmes","Extrême-droite",44,31.2056737588652,100,100,53.25,56,30.7963519465218,14.8148148148148,18.1818181818182,0,47.7272727272727,0,31.8181818181818,0,70.4545454545455,100,26.0202270218807,13.7931034482759,29.5454545454545,0,7.88636363636364,4
2024,"Femmes","Non-inscrits",4,44.4444444444444,100,100,58.5,57,65.252109002109,72.8021978021978,25,0,75,100,0,0,100,100,65.252109002109,72.8021978021978,0,0,20.5,19.5
2024,"Hommes","Centre",100,64.1025641025641,0,0,51.86,53,57.3145265102273,54.2328042328042,31,0,72,100,9,0,79,100,49.3097492421241,47.8537360890302,8,0,14.54,12
2024,"Hommes","COM/LFI",57,63.3333333333333,0,0,44.6315789473684,43,41.4703024265089,25,28.0701754385965,0,40.3508771929825,0,33.3333333333333,0,47.3684210526316,0,33.4864470589433,23.3333333333333,17.5438596491228,0,8.31578947368421,4
2024,"Hommes","Droite",53,67.9487179487179,0,0,51.7358490566038,54,73.8358776208988,83.3333333333333,35.8490566037736,0,71.6981132075472,100,7.54716981132075,0,90.5660377358491,100,68.2034875174999,73.3333333333333,13.2075471698113,0,19.6037735849057,18
2024,"Hommes","ECO/SOC/RAD",60,58.252427184466,0,0,51.85,52,53.9843546847081,53.2147742818057,45,0,63.3333333333333,100,15,0,80,100,44.0169359216205,45.307917888563,46.6666666666667,0,14.55,14
2024,"Hommes","Extrême-droite",97,68.7943262411348,0,0,44.5257731958763,41,42.2773420192221,33.9743589743589,40.2061855670103,0,48.4536082474227,0,22.680412371134,0,64.9484536082474,100,34.6185344843614,28.6363636363636,47.4226804123711,0,6.45360824742268,4
2024,"Hommes","Non-inscrits",5,55.5555555555556,0,0,50.6,38,71.2388591800356,88.6363636363636,40,0,60,100,0,0,60,100,71.2388591800356,88.6363636363636,0,0,14,9
2024,"Total","Centre",156,100,35.8974358974359,0,52.2884615384615,52.5,52.3320761638574,50,29.4871794871795,0,69.8717948717949,100,11.5384615384615,0,71.1538461538462,100,45.4617531429543,42.4812030075188,8.33333333333333,0,13.4358974358974,10
2024,"Total","COM/LFI",90,100,36.6666666666667,0,44.0555555555556,43,39.5243455690193,27.6190476190476,26.6666666666667,0,42.2222222222222,0,35.5555555555556,0,44.4444444444444,0,31.602033936494,23.2051282051282,17.7777777777778,0,7.37777777777778,4
2024,"Total","Droite",78,100,32.0512820512821,0,51.9615384615385,55,71.1596393888727,74.0761478163494,34.6153846153846,0,69.2307692307692,100,7.69230769230769,0,88.4615384615385,100,64.1117386620621,66.6666666666667,10.2564102564103,0,18.8589743589744,16
2024,"Total","ECO/SOC/RAD",103,100,41.747572815534,0,51.5922330097087,52,55.6903697656776,55.5555555555556,43.6893203883495,0,66.9902912621359,100,11.6504854368932,0,79.6116504854369,100,45.211617891833,47.0588235294118,42.7184466019417,0,14.7669902912621,14
2024,"Total","Extrême-droite",141,100,31.2056737588652,0,47.2482269503546,48,38.6738195876446,33.3333333333333,33.3333333333333,0,48.2269503546099,0,25.531914893617,0,66.6666666666667,100,31.9197956457726,21.2765957446809,41.8439716312057,0,6.90070921985816,4
2024,"Total","Non-inscrits",9,100,44.4444444444444,0,54.1111111111111,53,68.5780813231793,88.4615384615385,33.3333333333333,0,66.6666666666667,100,0,0,77.7777777777778,100,68.5780813231793,88.4615384615385,0,0,16.8888888888889,13
