"legis.annee","tendance.pol","elu.local","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2017,"Total","Jamais élu local",196,100,54.0816326530612,100,42.5,41,8.80456518006308,0,19.3877551020408,0,78.5714285714286,100,13.265306122449,0,0,0,0.768378397460591,0,96.9387755102041,100,1.25510204081633,0
2022,"Centre","Ancien élu local",174,40.8450704225352,32.7586206896552,0,52.9310344827586,53.5,53.6548766810337,50,26.4367816091954,0,69.5402298850575,100,12.0689655172414,0,100,100,49.6440338845377,48.2758620689655,33.9080459770115,0,14.4022988505747,12
2022,"Centre","Jamais élu local",86,50.2923976608187,52.3255813953488,100,45.8953488372093,44.5,34.4663355195459,26.3157894736842,32.5581395348837,0,77.9069767441861,100,8.13953488372093,0,0,0,21.6496002903647,17.5492610837439,27.906976744186,0,5.61627906976744,5
2022,"COM/LFI","Ancien élu local",51,11.9718309859155,33.3333333333333,0,49.1960784313725,49,47.9553546379368,46.6666666666667,31.3725490196078,0,35.2941176470588,0,41.1764705882353,0,100,100,42.1395839937141,38.0952380952381,66.6666666666667,100,12.6862745098039,12
2022,"COM/LFI","Jamais élu local",46,26.9005847953216,41.304347826087,0,39.4565217391304,38.5,19.6087314418368,0,19.5652173913043,0,47.8260869565217,0,39.1304347826087,0,0,0,8.59641954033199,0,82.6086956521739,100,1.54347826086957,0
2022,"Droite","Ancien élu local",83,19.4835680751174,32.5301204819277,0,51.3975903614458,53,72.3243501173327,73.6842105263158,31.3253012048193,0,57.8313253012048,100,15.6626506024096,0,100,100,65.7445421856101,65.8536585365854,34.9397590361446,0,18.5903614457831,16
2022,"Droite","Jamais élu local",10,5.84795321637427,20,0,45.1,40.5,42.8807785351903,39.2307692307693,60,100,80,100,0,0,0,0,22.8215252884371,22.5,10,0,9.3,7
2022,"ECO/SOC/RAD","Ancien élu local",44,10.3286384976526,43.1818181818182,0,51.8636363636364,52,57.0092988791213,55.126050420168,31.8181818181818,0,61.3636363636364,100,15.9090909090909,0,100,100,50.0878870808223,47.3333333333333,56.8181818181818,100,15.6363636363636,14
2022,"ECO/SOC/RAD","Jamais élu local",10,5.84795321637427,50,50,40.2,38.5,55.4273925458136,55.8270676691729,90,100,40,0,0,0,0,0,10.6366943866944,0,70,100,7.5,8.5
2022,"Extrême-droite","Ancien élu local",71,16.6666666666667,36.6197183098592,0,46.4929577464789,47,47.0555883700212,39.0476190476191,35.2112676056338,0,49.2957746478873,0,21.1267605633803,0,100,100,39.654210786595,33.3333333333333,92.9577464788732,100,7.56338028169014,7
